year,rank,title,link,worldwide_gross
1994,1,Hum Aapke Hain Koun..!,https://en.wikipedia.org/wiki/Hum_Aapke_Hain_Koun..!,128
1994,2,Mohra,https://en.wikipedia.org/wiki/Mohra,22.64
1994,3,Krantiveer,https://en.wikipedia.org/wiki/Krantiveer,15.85
1994,4,Vijaypath,https://en.wikipedia.org/wiki/Vijaypath,15.53
1994,5,Raja Babu,https://en.wikipedia.org/wiki/Raja_Babu_(film),15.26
1994,6,Laadla,https://en.wikipedia.org/wiki/Laadla_(1994_film),13.91
1994,7,Main Khiladi Tu Anari,https://en.wikipedia.org/wiki/Main_Khiladi_Tu_Anari,13.84
1994,8,Dilwale,https://en.wikipedia.org/wiki/Dilwale_(1994_film),12.99
1994,9,Aatish,https://en.wikipedia.org/wiki/Aatish:_Feel_the_Fire,12.26
1994,10,Suhaag,https://en.wikipedia.org/wiki/Suhaag_(1994_film),12.14
1995,1,Dilwale Dulhania Le Jayenge,https://en.wikipedia.org/wiki/Dilwale_Dulhania_Le_Jayenge,103
1995,2,Karan Arjun,https://en.wikipedia.org/wiki/Karan_Arjun,43.63
1995,3,Raja,https://en.wikipedia.org/wiki/Raja_(1995_film),34.68
1995,4,Barsaat,https://en.wikipedia.org/wiki/Barsaat_(1995_film),34
1995,5,Rangeela,https://en.wikipedia.org/wiki/Rangeela_(1995_film),33.44
1995,6,Coolie No. 1,https://en.wikipedia.org/wiki/Coolie_No._1_(1995_film),21.23
1995,7,Sabse Bada Khiladi,https://en.wikipedia.org/wiki/Sabse_Bada_Khiladi,16.06
1995,8,Trimurti,https://en.wikipedia.org/wiki/Trimurti_(1995_film),15.56
1995,9,Ram Jaane,https://en.wikipedia.org/wiki/Ram_Jaane,15.19
1995,10,Akele Hum Akele Tum,https://en.wikipedia.org/wiki/Akele_Hum_Akele_Tum,12.37
1995,11,Andolan,https://en.wikipedia.org/wiki/Andolan_(1995_film),12.25
1995,12,Zamaana Deewana,https://en.wikipedia.org/wiki/Zamaana_Deewana,9.99
1995,13,Hulchul,https://en.wikipedia.org/wiki/Hulchul_(1995_film),9.81
1995,14,Naajayaz,https://en.wikipedia.org/wiki/Naajayaz,9.58
1995,15,Yaarana,https://en.wikipedia.org/wiki/Yaraana_(1995_film),9.08
1996,1,Raja Hindustani,https://en.wikipedia.org/wiki/Raja_Hindustani,76.34
1996,2,Agni Sakshi,https://en.wikipedia.org/wiki/Agni_Sakshi_(1996_film),31.34
1996,3,Jeet,https://en.wikipedia.org/wiki/Jeet_(1996_film),28.61
1996,4,Ghatak,https://en.wikipedia.org/wiki/Ghatak:_Lethal,26.57
1996,5,Khiladiyon Ka Khiladi,https://en.wikipedia.org/wiki/Khiladiyon_Ka_Khiladi,25.15
1996,6,Saajan Chale Sasural,https://en.wikipedia.org/wiki/Saajan_Chale_Sasural,23.61
1996,7,Jaan,https://en.wikipedia.org/wiki/Jaan_(film),17.54
1996,8,Army,https://en.wikipedia.org/wiki/Army_(1996_film),17.3
1996,9,Ajay,https://en.wikipedia.org/wiki/Ajay_(1996_film),16.8
1996,10,Diljale,https://en.wikipedia.org/wiki/Diljale,15.85
1996,11,Krishna,https://en.wikipedia.org/wiki/Krishna_(1996_Hindi_film),15.61
1996,12,Khamoshi: The Musical,https://en.wikipedia.org/wiki/Khamoshi:_The_Musical,14.26
1996,13,Tere Mere Sapne,https://en.wikipedia.org/wiki/Tere_Mere_Sapne_(1996_film),13.17
1996,14,Sapoot,https://en.wikipedia.org/wiki/Sapoot,11.74
1996,15,Rakshak,https://en.wikipedia.org/wiki/Rakshak,11.2
1997,1.,Dil To Pagal Hai,https://en.wikipedia.org/wiki/Dil_To_Pagal_Hai,71.86
1997,2.,Border,https://en.wikipedia.org/wiki/Border_(1997_film),65.57
1997,3,Ishq,https://en.wikipedia.org/wiki/Ishq_(1997_film),45.61
1997,4,Pardes,https://en.wikipedia.org/wiki/Pardes_(1997_film),40.95
1997,5,Gupt: The Hidden Truth,https://en.wikipedia.org/wiki/Gupt:_The_Hidden_Truth,33.23
1997,6,Ziddi,https://en.wikipedia.org/wiki/Ziddi_(1997_film),32.43
1997,7,Hero No. 1,https://en.wikipedia.org/wiki/Hero_No._1,30.95
1997,8,Judaai,https://en.wikipedia.org/wiki/Judaai_(1997_film),30.05
1997,9,Koyla,https://en.wikipedia.org/wiki/Koyla_(1997_film),25.04
1997,10,Deewana Mastana,https://en.wikipedia.org/wiki/Deewana_Mastana,24.33
1997,11,Judwa,https://en.wikipedia.org/wiki/Judwa,24.28
1997,12,Yes Boss,https://en.wikipedia.org/wiki/Yes_Boss_(film),23
1997,13,Virasat,https://en.wikipedia.org/wiki/Virasat_(1997_film),20.73
1997,14,Yeshwant,https://en.wikipedia.org/wiki/Yeshwant,19.1
1997,15,Mrityudata,https://en.wikipedia.org/wiki/Mrityudata,17.37
1998,1,Kuch Kuch Hota Hai,https://en.wikipedia.org/wiki/Kuch_Kuch_Hota_Hai,107
1998,2,Soldier,https://en.wikipedia.org/wiki/Soldier_(1998_Indian_film),38.88
1998,3,Pyaar To Hona Hi Tha,https://en.wikipedia.org/wiki/Pyaar_To_Hona_Hi_Tha,38.27
1998,4,Bade Miyan Chote Miyan,https://en.wikipedia.org/wiki/Bade_Miyan_Chote_Miyan_(1998_film),35.21
1998,5,Pyaar Kiya To Darna Kya,https://en.wikipedia.org/wiki/Pyaar_Kiya_To_Darna_Kya_(1998_film),33.36
