dow,hour,visits,seconds
0,00,184,25401.67
0,01,196,9907.64
0,02,53,37057.14
0,07,7,0.0
0,08,113,18786.17
0,09,300,13054.19
0,10,715,48281.82
0,11,687,26796.81
0,12,428,66373.33
0,13,695,93990.54
0,14,733,30755.91
0,15,803,123676.68
0,16,701,76618.57
0,17,516,24442.71
0,18,853,49805.02
0,19,827,122517.62
0,20,521,104385.0
0,21,943,102427.81
0,22,1323,68874.33
0,23,558,68772.38
1,00,286,9263.7
1,01,258,4540.45
1,02,153,981.07
1,07,36,14882.43
1,08,87,4381.09
1,09,361,42676.54
1,10,901,30493.7
1,11,801,280468.67
1,12,1240,68192.57
1,13,1203,157835.27
1,14,2103,113214.45
1,15,1505,99140.5
1,16,1024,81374.27
1,17,979,64988.19
1,18,612,56538.47
1,19,942,139264.34
1,20,1128,73313.75
1,21,848,44487.55
1,22,1590,56305.87
1,23,917,37915.03
2,00,166,11579.22
2,01,74,2571.49
2,02,22,208.75
2,06,9,0.0
2,07,161,5225.56
2,08,528,25180.63
2,09,415,25706.22
2,10,730,46508.75
2,11,484,58101.85
2,12,966,79509.09
2,13,1324,166995.32
2,14,1180,183116.89
2,15,1098,171718.57
2,16,1014,95936.99
2,17,887,60646.33
2,18,448,77501.21
2,19,514,26953.23
2,20,953,56689.64
2,21,1486,124439.44
2,22,1558,55546.44
2,23,892,27022.26
3,00,842,10166.44
3,01,1,0.0
3,06,28,0.0
3,07,177,15301.27
3,08,598,79205.8
3,09,536,52570.26
3,10,786,71621.7
3,11,678,63744.49
3,12,1112,144054.56
3,13,842,149020.83
3,14,1009,80212.32
3,15,2518,63861.96
3,16,863,121391.19
3,17,741,43088.62
3,18,554,35535.21
3,19,761,104455.52
3,20,637,53622.1
3,21,954,64015.67
3,22,733,41493.84
3,23,391,69701.95
4,00,193,53203.86
4,01,28,62835.95
4,06,46,0.0
4,07,147,4827.2
4,08,164,22676.7
4,09,315,64732.38
4,10,719,82162.12
4,11,251,60043.16
4,12,857,135669.27
4,13,1184,63207.8
4,14,1135,151654.7
4,15,631,69256.16
4,16,964,81937.79
4,17,809,53028.63
4,18,874,137904.68
4,19,673,94866.64
4,20,899,46701.55
4,21,1958,145695.77
4,22,1131,38947.78
4,23,774,170490.74
5,00,330,42495.09
5,01,78,824.1
5,04,7,0.0
5,06,70,3598.26
5,07,151,8785.97
5,08,295,13780.59
5,09,768,87469.74
5,10,349,18237.43
5,11,412,15823.67
5,12,1054,78646.14
5,13,1126,79779.44
5,14,1175,88458.54
5,15,969,88141.49
5,16,1143,150415.82
5,17,722,51054.21
5,18,647,64105.48
5,19,2002,96169.14
5,20,1096,174281.22
5,21,1200,73637.74
5,22,1195,17455.7
5,23,1141,31470.82
6,00,236,10595.03
6,01,342,12852.86
6,02,115,5587.33
6,07,8,3194.34
6,08,151,9985.03
6,09,968,26556.14
6,10,683,62573.95
6,11,551,129624.94
6,12,1092,208226.86
6,13,607,77688.08
6,14,664,51723.51
6,15,274,58197.9
6,16,354,81177.67
6,17,663,43473.62
6,18,414,54774.49
6,19,342,30030.7
6,20,444,55875.04
6,21,1085,32159.9
6,22,411,25926.83
6,23,569,39026.32
