chain_id,max_depth,total_nodes
194801,261,261
232082,247,257
205866,247,283
220570,237,248
194337,237,248
205331,172,172
218390,164,164
192130,164,164
191228,155,155
217476,148,148
204015,138,138
230258,131,131
254792,118,203
221054,105,105
217707,95,95
191458,94,94
253529,89,89
180946,84,187
248683,74,74
162913,71,71
231585,68,68
223643,62,94
197411,62,94
218963,61,154
192506,61,154
248361,56,96
226681,53,54
200442,53,54
179306,48,52
170479,44,44
218664,43,43
192421,43,43
171465,43,53
221157,42,42
218283,42,42
192029,42,42
250950,41,41
249631,41,41
228475,40,40
202217,40,40
194925,38,38
169990,38,40
210911,36,94
214988,35,35
188723,35,35
253335,34,41
170682,34,39
224974,32,49
198723,32,49
181205,31,31
194805,30,30
180210,30,44
236610,29,32
224280,29,56
198042,29,56
253391,27,27
245946,27,30
233221,25,26
230196,25,25
223149,25,25
218338,25,25
203983,25,25
196919,25,25
192089,25,25
168974,25,31
167260,25,25
163861,25,25
261707,24,24
252400,24,24
247447,24,24
224562,24,24
222048,24,24
215712,24,24
195644,24,26
189433,24,24
172803,24,24
249672,23,23
221877,23,25
216190,23,23
198325,23,23
251010,22,22
189925,22,22
162858,22,22
162821,22,22
253636,21,21
180639,21,21
225076,20,20
211879,20,20
210444,20,52
198810,20,20
185617,20,20
223610,18,18
217454,18,28
197374,18,18
169006,18,18
164577,18,18
235285,17,17
230672,17,17
209093,17,17
204458,17,17
170720,17,17
163547,17,34
258556,16,20
247868,16,16
233227,16,16
216384,16,16
207026,16,16
190879,16,25
190139,16,16
171235,16,16
170197,16,24
258015,15,15
254327,15,15
247482,15,42
245017,15,15
228050,15,15
221515,15,15
201823,15,15
195263,15,15
184874,15,15
172828,15,15
167330,15,15
165228,15,17
246760,14,14
245228,14,73
235560,14,16
180482,14,26
180180,14,14
172208,14,14
260951,13,13
251704,13,13
249677,13,14
248166,13,13
235416,13,42
230268,13,13
225888,13,13
222170,13,18
212794,13,18
209216,13,42
204058,13,13
186546,13,18
178431,13,13
176298,13,13
175582,13,13
175050,13,13
173961,13,13
170065,13,14
166766,13,13
164760,13,13
253261,12,24
252622,12,23
249185,12,12
247541,12,12
245787,12,12
244278,12,12
237867,12,14
232897,12,12
231256,12,21
229347,12,12
226157,12,12
218545,12,12
211139,12,12
206704,12,12
205047,12,21
204334,12,12
199922,12,12
192289,12,12
183162,12,12
176598,12,12
174054,12,12
171682,12,12
170320,12,12
164727,12,12
162811,12,13
257533,11,11
247575,11,11
239920,11,11
238161,11,11
235652,11,11
233455,11,11
230546,11,11
224367,11,11
221958,11,11
221251,11,11
216978,11,11
216161,11,11
209400,11,11
207257,11,11
195722,11,11
192984,11,11
190716,11,11
189888,11,11
177702,11,11
176263,11,11
175852,11,11
170381,11,11
169643,11,21
264025,10,10
257418,10,10
252942,10,10
248670,10,10
248156,10,10
239692,10,10
238151,10,10
233695,10,16
232758,10,10
231545,10,10
