normalized_term,search_events,clicks,click_rate,avg_time_to_click_sec,unique_dest_domains,top_dest_domain,top_dest_clicks,top_dest_share,total_dest_foreground_sec
"repo:markedjs/marked ""input parameter is undefined""",10,160,16.0,124.21,1,github.com,160,1.0,669.17
repo:pydantic/genai-prices updateprices,42,84,2.0,593.59,1,github.com,84,1.0,5141.57
10 print chr$(205.5+rnd(1)); : goto 10,80,76,0.95,3.5,1,www.google.com,76,1.0,122.3
llms as a judge accuracy vs humans,66,64,0.97,8.82,1,www.google.com,64,1.0,129.59
one punch man pretty manga panels,60,54,0.9,3.1,1,www.google.com,54,1.0,90.24
dna tamil film mohammad zeeshan ayub,42,40,0.952,2.68,1,www.google.com,40,1.0,0.0
dna film,40,40,1.0,2.79,2,www.google.com,38,0.95,287.79
is:pr is:merged author:vikaskumar168 -user:vikaskumar168,42,36,0.857,4.12,1,github.com,36,1.0,0.0
llm multimodal benchmarks,28,28,1.0,2.09,1,www.google.com,28,1.0,81.56
microsoft office 2013 color palette hex,28,28,1.0,5.61,1,www.google.com,28,1.0,80.44
jobs most impacted by ai,26,24,0.923,4.73,1,www.google.com,24,1.0,99.49
wart / mold removal plaster (like band-aid) dr scholls circular shape with salicylic acid,32,18,0.563,67.22,1,www.google.com,18,1.0,0.0
mmlu benchmark time trend,20,18,0.9,3.64,1,www.google.com,18,1.0,82.37
model context window over time,20,18,0.9,2.35,1,www.google.com,18,1.0,0.0
beautiful slides,20,16,0.8,5.53,1,www.google.com,16,1.0,32.96
database schema diagram library javascript,20,16,0.8,40.66,1,www.google.com,16,1.0,122.18
flywheel,20,16,0.8,5.48,1,www.google.com,16,1.0,136.69
powerpoint slide master,20,16,0.8,4.97,1,www.google.com,16,1.0,44.54
microsoft office 2013 color palette,16,16,1.0,6.52,1,www.google.com,16,1.0,88.65
codex cli,26,14,0.538,4.05,1,github.com,14,1.0,3616.28
agents need: - planning - reflection - self critique - chain of thought - subgoal decomposition - memory - short term - long-term - tools - action harrison chase,16,12,0.75,57.9,1,www.google.com,12,1.0,36.12
ubuntu read mtpfs,16,12,0.75,37.18,1,www.google.com,12,1.0,1013.66
vadivelu,16,12,0.75,6.36,1,www.google.com,12,1.0,20.0
vadivelu aahaa,16,12,0.75,8.07,1,www.google.com,12,1.0,43.3
why so serious,16,12,0.75,6.99,1,www.google.com,12,1.0,63.12
locate vs mlocate vs plocate,14,12,0.857,7.38,3,www.google.com,8,0.667,662.03
agents need: - planning - reflection - self critique - chain of thought - subgoal decomposition - memory - short term - long-term - tools - action,12,12,1.0,42.0,2,www.google.com,8,0.667,80.3
ai engineering summit day 2 video youtube,12,12,1.0,7.99,1,www.youtube.com,12,1.0,271.96
claude code system prompt,12,12,1.0,4.83,3,www.google.com,4,0.333,82.48
harris jayaraj concert singapore,12,12,1.0,2.24,1,www.sistic.com.sg,12,1.0,103.74
marp speaker notes,12,12,1.0,7.04,3,www.google.com,6,0.5,116.36
matt warden,12,12,1.0,5.01,3,www.linkedin.com,4,0.333,19.37
powerpoint smartart,12,12,1.0,16.44,1,www.google.com,12,1.0,230.62
repo:openai/codex with_escalated_permissions,15,10,0.667,13.11,1,github.com,10,1.0,138.76
google flights,10,10,1.0,2.17,1,www.google.com,10,1.0,5685.52
saamy bgm,10,10,1.0,7.45,1,www.youtube.com,10,1.0,90.85
server sent events,10,10,1.0,2.71,1,developer.mozilla.org,10,1.0,235.57
ankor rai,16,8,0.5,6.83,1,www.google.com,8,1.0,35.53
llm vs human judge comparison chart,16,8,0.5,6.44,1,www.google.com,8,1.0,0.0
quarto,16,8,0.5,2.83,1,quarto.org,8,1.0,588.13
rejection sampling llm,16,8,0.5,6.52,2,rlhfbook.com,4,0.5,71.3
time in nashville,16,8,0.5,4.77,1,www.google.com,8,1.0,2.62
vitest playwright test,12,8,0.667,2.56,1,vitest.dev,8,1.0,698.5
"iim bangalore best student best all rounder gold medal pgdm ""2001""",10,8,0.8,9.35,1,www.google.com,8,1.0,0.0
machi machi,10,8,0.8,1.73,1,www.google.com,8,1.0,0.0
madagascar,10,8,0.8,6.46,1,www.google.com,8,1.0,63.13
codex cli add provider,8,8,1.0,14.27,2,platform.openai.com,4,0.5,20.44
diff-match-patch js,8,8,1.0,3.43,2,www.npmjs.com,4,0.5,7191.25
dna tamil film,8,8,1.0,17.53,1,www.google.com,8,1.0,124.76
drive in hotel anna nagar,8,8,1.0,12.55,2,www.google.com,4,0.5,0.0
fish herestring,8,8,1.0,4.2,2,www.google.com,4,0.5,851.87
gemini tokens:generate,8,8,1.0,4.25,2,www.google.com,4,0.5,13.3
latest marvel movies,8,8,1.0,17.27,2,www.google.com,4,0.5,104.84
matt warden doubleline linkedin,8,8,1.0,4.86,2,www.linkedin.com,4,0.5,33.91
openai gpt5,8,8,1.0,3.57,2,www.google.com,4,0.5,50.37
quote unicode,8,8,1.0,4.62,2,www.google.com,4,0.5,42.21
rejection sampling,8,8,1.0,3.3,2,www.google.com,4,0.5,269.31
saamy title track,8,8,1.0,72.96,2,www.youtube.com,4,0.5,75.0
spreadsheetllm,8,8,1.0,4.21,1,arxiv.org,8,1.0,11.14
srinivasa rao iitm,8,8,1.0,7.22,2,www.google.com,4,0.5,35.15
the marvels,8,8,1.0,13.99,2,www.google.com,4,0.5,36.97
repo:anrimian/music-player what file formats does this player support?,30,6,0.2,8.22,1,github.com,6,1.0,46.99
repo:pydantic/genai-prices extractusage,30,6,0.2,9.54,1,github.com,6,1.0,1043.6
pexels,12,6,0.5,4.55,2,www.pexels.com,4,0.667,61.01
japonaise,10,6,0.6,5423.36,1,www.google.com,6,1.0,79.27
watch bairavaa online,10,6,0.6,41.37,1,www.google.com,6,1.0,99.1
estradiol structure,8,6,0.75,77.81,1,www.google.com,6,1.0,0.0
how do debug npx @playwright/mcp,8,6,0.75,48.88,1,www.google.com,6,1.0,51.12
umap,16,4,0.25,3.99,1,umap-learn.readthedocs.io,4,1.0,0.0
chartjs,12,4,0.333,1.65,1,www.chartjs.org,4,1.0,16.88
ullam ketkumae enno janmala bandham,12,4,0.333,10.56,1,www.google.com,4,1.0,0.0
marp animation,10,4,0.4,96.27,1,www.google.com,4,1.0,23.29
lesa lesa,6,4,0.667,32.31,1,www.google.com,4,1.0,0.0
best harris jayaraj bgm,4,4,1.0,479.98,1,www.google.com,4,1.0,21.83
chatgpt pro o3 limits,4,4,1.0,88.89,1,help.openai.com,4,1.0,30.55
codex cli commands,4,4,1.0,91.57,1,platform.openai.com,4,1.0,171.34
computational thinking building blocks,4,4,1.0,69.01,1,www.google.com,4,1.0,570.9
curl post,4,4,1.0,215.52,1,www.google.com,4,1.0,27.87
github flavored markdown add class attribute,4,4,1.0,113.13,1,www.google.com,4,1.0,18.59
markdown double square brackets,4,4,1.0,82.67,1,www.google.com,4,1.0,742.46
openai export logs,4,4,1.0,52.98,1,www.google.com,4,1.0,15.42
promptfoo alternatives,4,4,1.0,48.28,1,www.google.com,4,1.0,16.28
"ravi varma, awone",4,4,1.0,57.66,1,www.google.com,4,1.0,5.04
rclone,4,4,1.0,51.87,1,rclone.org,4,1.0,3.71
saamy ringtone,4,4,1.0,130.1,1,www.google.com,4,1.0,4.16
structural topic model,4,4,1.0,666.11,1,www.google.com,4,1.0,59.87
