normalized_term,term,search_ts,dest_ts,time_to_click_sec,dest_host,dest_title
"mundhinam parthene — harris jayaraj","Mundhinam Parthene — Harris Jayaraj","2025-09-27 08:27:06","2025-09-27 08:27:06",0.05,m.youtube.com,"Mundhinam Parthene — Harris Jayaraj - YouTube"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:27:04","2025-09-22 10:27:04",0.08,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:27:04","2025-09-22 10:27:04",0.08,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:28:20","2025-09-22 10:28:20",0.11,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:28:20","2025-09-22 10:28:20",0.11,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:24:53","2025-09-22 10:24:53",0.13,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:24:53","2025-09-22 10:24:53",0.13,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"custom provider","custom provider","2025-08-12 11:07:50","2025-08-12 11:07:50",0.18,www.promptfoo.dev,"Search results for ""custom provider"" | Promptfoo"
"custom provider","custom provider","2025-08-12 11:07:50","2025-08-12 11:07:50",0.18,www.promptfoo.dev,"Search results for ""custom provider"" | Promptfoo"
"best director","Best Director","2025-09-19 05:19:13","2025-09-19 05:19:13",0.25,en.wikipedia.org,"Best Director - Wikipedia"
"best director","Best Director","2025-09-19 05:19:13","2025-09-19 05:19:13",0.25,en.wikipedia.org,"Best Director - Wikipedia"
