feature,reason,path,session_timestamp
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/09/rollout-2025-08-09T13-17-24-25d28713-17f3-4653-ab0f-fb8eecf1f170.jsonl,2025-08-09T13:17:24.866Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/08/09/rollout-2025-08-09T13-47-51-65873579-7eb3-4df2-a51a-6ef746f0b9ec.jsonl,2025-08-09T13:47:51.513Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/09/rollout-2025-08-09T13-56-54-049b7b48-7ca9-4b1d-a176-aefe322bbe03.jsonl,2025-08-09T13:56:54.622Z
spawn_agents_on_csv / sub-agents,Batch-like task with high call volume and no fan-out delegation.,sessions/2025/08/09/rollout-2025-08-09T13-56-54-049b7b48-7ca9-4b1d-a176-aefe322bbe03.jsonl,2025-08-09T13:56:54.622Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/09/rollout-2025-08-09T14-15-18-3648940a-cf15-41ad-b4cd-c094016d38bb.jsonl,2025-08-09T14:15:18.591Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/09/rollout-2025-08-09T14-55-39-93527fdf-dbeb-4b8b-8e75-0525ffbafd6f.jsonl,2025-08-09T14:55:39.816Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/09/rollout-2025-08-09T16-08-27-04d604bd-ea13-44e9-bfcf-24e772536334.jsonl,2025-08-09T16:08:27.447Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/10/rollout-2025-08-10T18-51-13-9d3d92d1-5e2b-4c13-81d4-bf099b37e317.jsonl,2025-08-10T18:51:13.411Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/10/rollout-2025-08-10T21-57-44-818bab5e-cd43-4bee-980c-16ffc026804c.jsonl,2025-08-10T21:57:44.946Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/12/rollout-2025-08-12T15-53-16-bc348740-a0b0-4e9c-ae10-3383a9724412.jsonl,2025-08-12T15:53:16.311Z
