metric,emotion,value,split,model,genre
mae,amazement,0.08326746004423362,stratified,BaselineMean,
pearson,amazement,,stratified,BaselineMean,
spearman,amazement,,stratified,BaselineMean,
ece,amazement,0.012517867600633253,stratified,BaselineMean,
mae,solemnity,0.11849250347429499,stratified,BaselineMean,
pearson,solemnity,,stratified,BaselineMean,
spearman,solemnity,,stratified,BaselineMean,
ece,solemnity,0.017088336972622048,stratified,BaselineMean,
mae,tenderness,0.153020417767977,stratified,BaselineMean,
pearson,tenderness,,stratified,BaselineMean,
spearman,tenderness,,stratified,BaselineMean,
ece,tenderness,0.00047763888958304856,stratified,BaselineMean,
mae,nostalgia,0.15275193602722847,stratified,BaselineMean,
pearson,nostalgia,,stratified,BaselineMean,
spearman,nostalgia,,stratified,BaselineMean,
ece,nostalgia,0.01989720452049379,stratified,BaselineMean,
mae,calmness,0.17729184553643548,stratified,BaselineMean,
pearson,calmness,,stratified,BaselineMean,
spearman,calmness,,stratified,BaselineMean,
ece,calmness,0.02205303855995272,stratified,BaselineMean,
mae,power,0.1439472345643143,stratified,BaselineMean,
pearson,power,,stratified,BaselineMean,
spearman,power,,stratified,BaselineMean,
ece,power,0.004531994171497328,stratified,BaselineMean,
mae,joy,0.19577057811020945,stratified,BaselineMean,
pearson,joy,,stratified,BaselineMean,
spearman,joy,,stratified,BaselineMean,
ece,joy,0.04085363437398265,stratified,BaselineMean,
mae,tension,0.16389246332332102,stratified,BaselineMean,
pearson,tension,,stratified,BaselineMean,
spearman,tension,,stratified,BaselineMean,
ece,tension,0.004130929635807884,stratified,BaselineMean,
mae,sadness,0.12238822153280271,stratified,BaselineMean,
pearson,sadness,,stratified,BaselineMean,
spearman,sadness,,stratified,BaselineMean,
ece,sadness,0.01050693820008683,stratified,BaselineMean,
mae,macro,0.14564696226453522,stratified,BaselineMean,
pearson,macro,,stratified,BaselineMean,
spearman,macro,,stratified,BaselineMean,
ece,macro,0.014673064769406616,stratified,BaselineMean,
topk_overlap,macro,0.47916666666666663,stratified,BaselineMean,
mae,amazement,0.09191806939617768,stratified,Ridge,
pearson,amazement,0.19221817831456028,stratified,Ridge,
spearman,amazement,0.17269105283249825,stratified,Ridge,
ece,amazement,0.03195360142718418,stratified,Ridge,
mae,solemnity,0.119853078274694,stratified,Ridge,
pearson,solemnity,0.32875543563358844,stratified,Ridge,
spearman,solemnity,0.30671941354962756,stratified,Ridge,
ece,solemnity,0.058203035153772245,stratified,Ridge,
mae,tenderness,0.12789164075783224,stratified,Ridge,
pearson,tenderness,0.4574415174231923,stratified,Ridge,
spearman,tenderness,0.42914092987620767,stratified,Ridge,
ece,tenderness,0.028019753526318355,stratified,Ridge,
mae,nostalgia,0.1321947782089516,stratified,Ridge,
pearson,nostalgia,0.38358406335741635,stratified,Ridge,
spearman,nostalgia,0.4256617683026619,stratified,Ridge,
ece,nostalgia,0.054657268511514,stratified,Ridge,
mae,calmness,0.1535652033090098,stratified,Ridge,
pearson,calmness,0.48024614363360374,stratified,Ridge,
spearman,calmness,0.5002585533101992,stratified,Ridge,
ece,calmness,0.05953808643842771,stratified,Ridge,
mae,power,0.11856921732563883,stratified,Ridge,
pearson,power,0.5595420898144088,stratified,Ridge,
spearman,power,0.5595051998010986,stratified,Ridge,
ece,power,0.04303649748266641,stratified,Ridge,
mae,joy,0.17462945287613352,stratified,Ridge,
pearson,joy,0.44177981487669643,stratified,Ridge,
spearman,joy,0.46172722195657895,stratified,Ridge,
ece,joy,0.08268932019687633,stratified,Ridge,
mae,tension,0.129800683660722,stratified,Ridge,
pearson,tension,0.5291867037755968,stratified,Ridge,
spearman,tension,0.5871612479647754,stratified,Ridge,
ece,tension,0.03454468442997157,stratified,Ridge,
mae,sadness,0.120633182598429,stratified,Ridge,
pearson,sadness,0.27612234991146456,stratified,Ridge,
spearman,sadness,0.3622969737968155,stratified,Ridge,
ece,sadness,0.05010853700318938,stratified,Ridge,
mae,macro,0.12989503404528766,stratified,Ridge,
pearson,macro,0.40543069963783646,stratified,Ridge,
spearman,macro,0.4227958179322736,stratified,Ridge,
ece,macro,0.049194531574435575,stratified,Ridge,
topk_overlap,macro,0.5875,stratified,Ridge,
mae,amazement,0.08053269212387017,stratified,RandomForest,
pearson,amazement,0.2863009781674106,stratified,RandomForest,
spearman,amazement,0.2849799695270489,stratified,RandomForest,
ece,amazement,0.012825384283585404,stratified,RandomForest,
mae,solemnity,0.1004191796996051,stratified,RandomForest,
pearson,solemnity,0.4712786947553788,stratified,RandomForest,
