Sector,Occupation,Model,Win
Real Estate and Rental and Leasing,Concierges,gpt-4o,0
Real Estate and Rental and Leasing,Concierges,gemini,18
Real Estate and Rental and Leasing,Concierges,grok,9
Real Estate and Rental and Leasing,Concierges,o4-mini-high,20
Real Estate and Rental and Leasing,Concierges,o3-high,13
Real Estate and Rental and Leasing,Concierges,gpt-5-high,23
Real Estate and Rental and Leasing,Concierges,claude,29
Real Estate and Rental and Leasing,Counter and Rental Clerks,gpt-4o,31
Real Estate and Rental and Leasing,Counter and Rental Clerks,gemini,41
Real Estate and Rental and Leasing,Counter and Rental Clerks,grok,38
Real Estate and Rental and Leasing,Counter and Rental Clerks,o4-mini-high,31
Real Estate and Rental and Leasing,Counter and Rental Clerks,o3-high,45
Real Estate and Rental and Leasing,Counter and Rental Clerks,gpt-5-high,57
Real Estate and Rental and Leasing,Counter and Rental Clerks,claude,81
Real Estate and Rental and Leasing,"Property, Real Estate, and Community Association Managers",gpt-4o,5
Real Estate and Rental and Leasing,"Property, Real Estate, and Community Association Managers",gemini,16
Real Estate and Rental and Leasing,"Property, Real Estate, and Community Association Managers",grok,9
Real Estate and Rental and Leasing,"Property, Real Estate, and Community Association Managers",o4-mini-high,23
Real Estate and Rental and Leasing,"Property, Real Estate, and Community Association Managers",o3-high,25
Real Estate and Rental and Leasing,"Property, Real Estate, and Community Association Managers",gpt-5-high,17
Real Estate and Rental and Leasing,"Property, Real Estate, and Community Association Managers",claude,34
Real Estate and Rental and Leasing,Real Estate Brokers,gpt-4o,20
Real Estate and Rental and Leasing,Real Estate Brokers,gemini,40
Real Estate and Rental and Leasing,Real Estate Brokers,grok,40
Real Estate and Rental and Leasing,Real Estate Brokers,o4-mini-high,30
Real Estate and Rental and Leasing,Real Estate Brokers,o3-high,48
Real Estate and Rental and Leasing,Real Estate Brokers,gpt-5-high,54
Real Estate and Rental and Leasing,Real Estate Brokers,claude,50
Real Estate and Rental and Leasing,Real Estate Sales Agents,gpt-4o,4
Real Estate and Rental and Leasing,Real Estate Sales Agents,gemini,27
Real Estate and Rental and Leasing,Real Estate Sales Agents,grok,7
Real Estate and Rental and Leasing,Real Estate Sales Agents,o4-mini-high,12
Real Estate and Rental and Leasing,Real Estate Sales Agents,o3-high,25
Real Estate and Rental and Leasing,Real Estate Sales Agents,gpt-5-high,20
Real Estate and Rental and Leasing,Real Estate Sales Agents,claude,36
Manufacturing,Buyers and Purchasing Agents,gpt-4o,9
Manufacturing,Buyers and Purchasing Agents,gemini,34
Manufacturing,Buyers and Purchasing Agents,grok,25
Manufacturing,Buyers and Purchasing Agents,o4-mini-high,41
Manufacturing,Buyers and Purchasing Agents,o3-high,43
Manufacturing,Buyers and Purchasing Agents,gpt-5-high,41
Manufacturing,Buyers and Purchasing Agents,claude,64
