"pickup_borocode","dropoff_borocode","trips","avg_tip_pct"
1,5,178570,0.20263201831588526
1,4,40132128,0.17741892546412466
1,3,37190746,0.17653795949360424
4,1,35106058,0.17366167827933904
1,1,891342598,0.17322282818422827
5,5,45294,0.16559559196203613
3,1,11008786,0.1528154248969086
4,3,6636434,0.13866335548002898
3,5,14274,0.13728184101129295
4,5,44476,0.12583723550082954
3,4,2097502,0.11581732979378977
4,2,673188,0.09729118345944487
3,3,23116166,0.09713415750392969
1,2,5443044,0.07989328793284385
3,2,58678,0.07656271123036695
4,4,27263606,0.06483712051656108
2,3,16944,0.05788478630899504
2,4,69658,0.053389870253872214
2,1,1016728,0.02497299173722173
2,2,4143798,0.021215057365484947
