"payment_type_","year","trips","avg_tip"
"CSH",2009,249028448,0.0008969625830590511
"CRE",2009,89688646,2.173933912824516
"NOC",2009,840350,0.011123960256676724
"DIS",2009,159044,0.021803903376348598
"CSH",2010,212995626,0.0011145267388056165
"CRE",2010,123131456,2.131132333119705
"NOC",2010,360934,0.016789717801530015
"CSH",2011,200156314,0.0017159279832121494
"CRE",2011,152517720,2.2179927561620825
"UNK",2012,134442,3.1706942807644114
"CSH",2012,182858252,0.0010288163542801082
"CRE",2012,172171156,2.31525091380472
"NOC",2012,459560,0.013385629778409638
"DIS",2012,153946,0.021106232057372595
"UNK",2013,412322,2.4818458838886137
"CSH",2013,158054956,0.013917236603641234
"CRE",2013,188082734,2.5014395772266176
"NOC",2013,575318,0.017670019014228343
"DIS",2013,206790,0.026056966031831056
"UNK",2014,1591362,2.1355638972677147
"CSH",2014,148455706,0.22886111161718273
"CRE",2014,209071862,2.362067214293787
"NOC",2014,676886,0.009696433388891304
"DIS",2014,276974,0.006006339926360352
"CSH",2015,200635800,2.7350362767446197
"CRE",2015,126975332,0.00017452098468039132
"NOC",2015,773134,0.00789881178405518
"DIS",2015,343462,0.005081610164462577
"CSH",2016,188362564,2.707980244581685
"CRE",2016,103807924,0.00006776842937233098
"NOC",2016,884834,0.003080623033636457
"DIS",2016,352004,0.002267701505895543
"CSH",2017,164107368,2.694456094341181
"CRE",2017,83662024,0.000002431210586375933
"NOC",2017,960398,0.0034187701382822917
"DIS",2017,321314,0.005423417610079962
"CSH",2018,152522288,2.6350293980902175
"CRE",2018,68293134,0.00005710588701974501
"NOC",2018,836424,0.004939743489523607
"DIS",2018,257530,0.005491942688270165
"UNK",2019,1318850,0.027936247513672678
"CSH",2019,127479820,2.9869366417845176
"CRE",2019,49912330,0.0002525444111522511
"NOC",2019,633254,0.003007797819895342
"DIS",2019,213996,0.003757546871260493
"UNK",2020,2673290,1.599826079332026
"CSH",2020,36199416,2.8277573339514945
"CRE",2020,13144968,0.00017354625736654765
"NOC",2020,194496,0.002843657431188712
"UNK",2021,2163870,1.3742499593968907
"CSH",2021,21784540,2.862161415708135
"CRE",2021,6746966,0.00008489445438975623
"NOC",2021,101346,0.0009464606520097934
