"fare_amount","tip_amount","trip_distance","passenger_count","hour"
0.04,167,33.63,1,8
0.04,167,33.63,1,8
2.5,95,0.01,1,23
2.5,95,0.01,1,23
2.5,55,0,1,3
2.5,55,0,1,3
2.5,52,0,1,12
2.5,52,0,1,12
3.5,55.5,0.52,1,3
3.5,55.5,0.52,1,3
2.5,24,0,5,17
2.5,24,0,5,17
2.5,22.22,16.1,0,16
2.5,22.22,16.1,0,16
2.5,22,0.01,1,8
2.5,22,0.01,1,8
2.5,20,0,1,4
2.5,20,0,1,4
2.5,17.5,0,5,15
2.5,17.5,0,5,15
2.5,17,0,2,14
2.5,17,0,2,14
10.9,59,2.3,5,22
10.9,59,2.3,5,22
2.5,13.4,0,1,14
2.5,13.4,0,1,14
2.5,12.5,0,1,19
6,30,0.92,3,18
6,30,0.92,3,18
2.5,12.5,0,1,19
2.5,12,0,1,12
2.5,12,0,1,12
2.5,11.5,0,1,18
2.5,11.5,0,1,18
2.5,11,0,3,14
2.5,11,0,3,14
2.5,10,0,1,4
2.5,10,0,1,4
12,45,2,1,19
12,45,2,1,19
5.5,18,1.1,2,14
5.5,18,1.1,2,14
4,10,0,1,11
4,10,0,1,11
2.5,6,0,1,18
2.5,6,0,1,18
12.1,25,1.9,1,15
12.1,25,1.9,1,15
7.3,14.6,1.2,1,6
7.3,14.6,1.2,1,6
2.5,5,0,1,0
2.5,5,0,1,0
16.9,33,5.7,1,8
16.9,33,5.7,1,8
7.3,12.2,2.27,5,15
7.3,12.2,2.27,5,15
2.5,4,0,1,7
2.5,4,0,1,7
2.5,4,0,1,17
2.5,4,0,1,17
52,65,0,1,23
52,65,0,1,23
2.5,3,0,1,3
2.5,3,0,1,3
2.5,3,0,1,22
2.5,3,0,1,22
60.5,66,19.94,1,11
60.5,66,19.94,1,11
10.1,11,3.6,2,18
10.1,11,3.6,2,18
14,15,3.77,1,2
14,15,3.77,1,2
45,46,14.43,1,20
45,46,14.43,1,20
15,15,0,1,3
15,15,0,1,3
19.5,19,3.6,3,7
19.5,19,3.6,3,7
3.3,3,0.31,3,23
3.3,3,0.31,3,23
4.5,4,0.95,2,18
4.5,4,0.95,2,18
30,25,3.8,1,17
30,25,3.8,1,17
36.5,30,11.15,3,17
36.5,30,11.15,3,17
4.9,4,1.2,1,21
4.9,4,1.2,1,21
4.9,4,0.91,1,22
4.9,4,0.91,1,22
3.7,3,0.6,1,0
3.7,3,0.6,1,0
2.5,2,0,2,5
2.5,2,0,2,5
2.5,2,0,2,14
2.5,2,0,2,14
2.5,2,0,1,3
2.5,2,0,1,3
52,40,18,1,13
52,40,18,1,13
