"fare_bucket","avg_tip_pct","trips"
5,0.13884784948810908,636795262
10,0.1250535877413334,316836498
15,0.11694419322628306,126114580
20,0.12612294157051454,63445064
25,0.13436468994636258,35448768
30,0.12884424124115865,21047664
35,0.1137608824684459,11069722
40,0.1037891455169057,6159714
45,0.1584955402870923,13170734
50,0.09868407431870331,19466436
55,0.10650340520405156,1535386
60,0.09861126245341893,1173914
65,0.09760982965820603,850922
70,0.09417967846243722,596680
75,0.09933818406299842,380796
80,0.09533242263237467,282928
85,0.10118010693403164,190010
90,0.09560788517465689,159896
95,0.09841948918412022,106886
