"pickup_ntaname","trips","avg_tip_pct"
"Rosedale",9662,1.0565273178103531
"Newark Airport",144482,0.8898594598491635
"Dyker Heights",20062,0.6190890907967739
"Great Kills",1036,0.3903608512373045
"New Dorp-Midland Beach",1776,0.31985135189474284
"New Springville-Bloomfield-Travis",6344,0.28872343525831956
"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",3870,0.26690038220704376
"New Brighton-Silver Lake",2412,0.258957946718516
"Old Town-Dongan Hills-South Beach",4158,0.25176228078768864
"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",6452,0.24114709883533655
"Westerleigh",3142,0.23562830232256474
"Grasmere-Arrochar-Ft. Wadsworth",4894,0.22617304015875264
"Douglas Manor-Douglaston-Little Neck",4788,0.2223759262590371
"Rikers Island",7488,0.213959274305089
"Stapleton-Rosebank",6346,0.2075017528391252
"Laurelton",5180,0.20681324693810402
"Oakland Gardens",7706,0.20459350052792769
"Grymes Hill-Clifton-Fox Hills",2998,0.20195965670524235
"Glen Oaks-Floral Park-New Hyde Park",7936,0.19311995068215962
"Ft. Totten-Bay Terrace-Clearview",6576,0.19310605315244136
