month,topic,count
2013-11,AI Models and ChatGPT,5
2013-11,APIs and Tokens,4
2013-11,Bangalore Local Info,15
2013-11,Books and Popular Culture,7
2013-11,Browser and Web UI Tools,27
2013-11,Business and Corporate Reports,6
2013-11,CSS Styling and Web Design,22
2013-11,Chennai Local Info,15
2013-11,Currency Conversion Rates,4
2013-11,D3 and DuckDB Data Visualization,31
2013-11,Data Visualization and Diagrams,4
2013-11,Email and Cloud Storage Services,1
2013-11,Fonts and Text Embedding,3
2013-11,GitHub and Git Tools,10
2013-11,Google Services and Security,2
2013-11,Gramener Company Info,11
2013-11,HTML Parsing and Beautification,7
2013-11,HTML and Bootstrap UI,16
2013-11,HTTP and API Errors,7
2013-11,India Data and Services,20
2013-11,Indian Celebrities and Directors,63
2013-11,Indian Culture and Movies,13
2013-11,JSON and Data Formatting,11
2013-11,JavaScript Libraries and DOM,25
2013-11,LLM and Language Models,1
2013-11,Linux and Command Line,16
2013-11,Markdown and HTML Parsing,19
2013-11,Media Conversion and Graphics,7
2013-11,Microsoft and Linux Utilities,14
2013-11,Minecraft and Gaming,1
2013-11,Mixed Tech and Media,8
2013-11,Movies and Actors,11
2013-11,Node.js and Happy-DOM Issues,20
2013-11,OpenAI and AI Research,2
2013-11,Pandas Data Analysis,42
2013-11,PowerPoint and Power BI Tools,2
2013-11,Public Datasets and Data Science,1
2013-11,Python Programming Tools,30
2013-11,SQL and Databases,141
2013-11,SVG Graphics and Logos,13
2013-11,Singapore Local Info,5
2013-11,Spreadsheets and Excel Functions,3
2013-11,Tamil Cinema Movies,39
2013-11,Tech Devices and Support,7
2013-11,Testing and Code Tools,5
2013-11,Time and Historical Data,5
2013-11,Unicode and Emoji Symbols,3
2013-12,AI Models and ChatGPT,5
2013-12,APIs and Tokens,1
2013-12,Bangalore Local Info,34
2013-12,Browser and Web UI Tools,31
2013-12,Business and Corporate Reports,10
2013-12,CSS Styling and Web Design,8
2013-12,Chennai Local Info,32
2013-12,Currency Conversion Rates,5
2013-12,D3 and DuckDB Data Visualization,24
2013-12,Data Visualization and Diagrams,4
2013-12,Education and Professionals,3
2013-12,Email and Cloud Storage Services,1
2013-12,Fonts and Text Embedding,10
2013-12,GitHub and Git Tools,10
2013-12,Google Services and Security,4
2013-12,Gramener Company Info,8
2013-12,HTML Parsing and Beautification,6
2013-12,HTML and Bootstrap UI,13
2013-12,HTTP and API Errors,5
2013-12,India Data and Services,31
2013-12,Indian Celebrities and Directors,29
2013-12,Indian Culture and Movies,4
2013-12,JSON and Data Formatting,2
2013-12,JavaScript Libraries and DOM,40
2013-12,LLM and Language Models,1
2013-12,Linux and Command Line,2
2013-12,Markdown and HTML Parsing,8
2013-12,Media Conversion and Graphics,2
2013-12,Microsoft and Linux Utilities,5
2013-12,Minecraft and Gaming,2
2013-12,Mixed Tech and Media,6
2013-12,Movies and Actors,15
2013-12,Node.js and Happy-DOM Issues,26
2013-12,OpenAI and AI Research,1
2013-12,Pandas Data Analysis,55
2013-12,Public Datasets and Data Science,1
2013-12,Python Programming Tools,23
2013-12,SQL and Databases,7
2013-12,SVG Graphics and Logos,14
2013-12,Singapore Local Info,6
2013-12,Spreadsheets and Excel Functions,1
2013-12,Tamil Cinema Movies,37
2013-12,Tech Devices and Support,5
2013-12,Testing and Code Tools,15
2013-12,Time and Historical Data,12
2013-12,Unicode and Emoji Symbols,2
2014-01,AI Models and ChatGPT,7
2014-01,APIs and Tokens,3
2014-01,Bangalore Local Info,35
2014-01,Books and Popular Culture,3
2014-01,Browser and Web UI Tools,21
2014-01,Business and Corporate Reports,5
2014-01,CSS Styling and Web Design,20
2014-01,Chennai Local Info,17
2014-01,D3 and DuckDB Data Visualization,19
2014-01,Data Visualization and Diagrams,21
2014-01,Education and Professionals,2
2014-01,Email and Cloud Storage Services,1
2014-01,Fonts and Text Embedding,9
2014-01,GitHub and Git Tools,14
2014-01,Google Services and Security,6
2014-01,Gramener Company Info,8
2014-01,Graph Theory and Embeddings,2
2014-01,HTML Parsing and Beautification,6
2014-01,HTML and Bootstrap UI,16
2014-01,HTTP and API Errors,7
2014-01,India Data and Services,52
2014-01,Indian Celebrities and Directors,35
2014-01,Indian Culture and Movies,8
2014-01,JSON and Data Formatting,8
2014-01,JavaScript Libraries and DOM,27
2014-01,LLM and Language Models,3
2014-01,Linux and Command Line,8
2014-01,Markdown and HTML Parsing,3
2014-01,Media Conversion and Graphics,7
2014-01,Microsoft and Linux Utilities,8
2014-01,Mixed Tech and Media,12
2014-01,Movies and Actors,16
2014-01,Node.js and Happy-DOM Issues,10
2014-01,OpenAI and AI Research,5
2014-01,Pandas Data Analysis,27
2014-01,PowerPoint and Power BI Tools,1
2014-01,Public Datasets and Data Science,7
2014-01,Python Programming Tools,23
2014-01,SQL and Databases,2
2014-01,SVG Graphics and Logos,25
2014-01,Singapore Local Info,6
2014-01,Spreadsheets and Excel Functions,3
2014-01,Tamil Cinema Movies,36
2014-01,Tech Devices and Support,6
