judge,reversals,total
HONOURABLE MR JUSTICE SUNDER MOHAN,19,23
HONOURABLE MR JUSTICE M. NIRMAL KUMAR,7,14
HONOURABLE MR JUSTICE G.ILANGOVAN,7,19
"HONOURABLE MR JUSTICE G.R.SWAMINATHAN,HONOURABLE MS.JUSTICE R. POORNIMA",6,10
HONOURABLE MR JUSTICE B.PUGALENDHI,6,15
HONOURABLE MR JUSTICE K.K. RAMAKRISHNAN,5,5
HONOURABLE MR JUSTICE N. SESHASAYEE,2,4
"HONOURABLE MR JUSTICE M.S. RAMESH,HONOURABLE  MR.JUSTICE C.KUMARAPPAN",2,3
HONOURABLE MR JUSTICE P. VELMURUGAN,1,12
HONOURABLE MR JUSTICE SATHI KUMAR SUKUMARA KURUP,1,1
HONOURABLE  MR JUSTICE M. NIRMAL KUMAR,0,1
"HONOURABLE MR JUSTICE M.S. RAMESH,HONOURABLE  MR.JUSTICE N.SENTHILKUMAR",0,1
HONOURABLE MR.JUSTICE SHAMIM AHMED,0,1
