judge,avg_len,reversal_rate
HONOURABLE  MR.JUSTICE K.RAJASEKAR,989.0,0.3333333333333333
HONOURABLE MR JUSTICE M.S. RAMESH,998.75,0.0
HONOURABLE MR JUSTICE S.M. SUBRAMANIAM,999.0,0.5
HONOURABLE MRS JUSTICE R. HEMALATHA,1005.2453987730062,0.09815950920245399
ASSISTANT REGISTRAR I (OS),1007.0,0.0
HONOURABLE MS. JUSTICE P.T. ASHA,1008.947963800905,0.744343891402715
HONOURABLE  MR.JUSTICE C.KUMARAPPAN,1009.25,0.25
HONOURABLE MR JUSTICE M.DHANDAPANI,1011.3065693430657,0.22384428223844283
HONOURABLE MRS JUSTICE T.V.THAMILSELVI,1012.1658767772511,0.018957345971563982
HONOURABLE  MR.JUSTICE G.ARUL MURUGAN,1015.7297297297297,0.10810810810810811
HONOURABLE MR JUSTICE M. NIRMAL KUMAR,1015.8888888888889,0.38271604938271603
HONOURABLE MS JUSTICE R.N.MANJULA,1015.9403973509934,0.33112582781456956
HONOURABLE MRS JUSTICE J. NISHA BANU,1016.0769230769231,0.0
HONOURABLE MR JUSTICE P. VELMURUGAN,1016.4137931034483,0.034482758620689655
HONOURABLE MR JUSTICE SATHI KUMAR SUKUMARA KURUP,1016.6666666666666,0.7777777777777778
HONOURABLE MR JUSTICE N. SATHISH KUMAR,1017.2975778546713,0.17301038062283736
HONOURABLE MR.JUSTICE P. DHANABAL,1018.8571428571429,0.09821428571428571
HONOURABLE DR JUSTICE ANITA SUMANTH,1019.4814814814815,0.037037037037037035
HONOURABLE MR JUSTICE S. SOUNTHAR,1022.8808988764044,0.22696629213483147
HONOURABLE MR JUSTICE SUNDER MOHAN,1025.7816390041494,0.044087136929460584
HONOURABLE MR JUSTICE N. ANAND VENKATESH,1025.9700460829492,0.21658986175115208
HONOURABLE MR JUSTICE RMT. TEEKAA RAMAN,1026.0,0.2727272727272727
HONOURABLE  MR JUSTICE BATTU DEVANAND,1029.2203389830509,0.288135593220339
HONOURABLE DR JUSTICE G. JAYACHANDRAN,1029.3551401869158,0.5607476635514018
HONOURABLE  MR JUSTICE V. LAKSHMINARAYANAN,1031.5384615384614,0.11965811965811966
HONOURABLE MR JUSTICE D.BHARATHA CHAKRAVARTHY,1032.2333333333333,0.09333333333333334
"HONOURABLE MR JUSTICE S. S. SUNDAR,HONOURABLE  MR.JUSTICE N.SENTHILKUMAR",1033.0,0.0
HONOURABLE MR JUSTICE A.D.JAGADISH CHANDIRA,1033.521684737281,0.004170141784820684
HONOURABLE MR JUSTICE J.SATHYA NARAYANA PRASAD,1033.7932098765432,0.06481481481481481
HONOURABLE MR JUSTICE C.V. KARTHIKEYAN,1033.9576923076922,0.12692307692307692
HONOURABLE MR JUSTICE A.A.NAKKIRAN,1033.9666666666667,0.5777777777777777
"HONOURABLE MR JUSTICE S. S. SUNDAR,HONOURABLE MR JUSTICE RMT. TEEKAA RAMAN",1036.2,0.0
