song,metric,source,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness
song_1,std,gemini,0.433,0.3055,0.4061,0.3727,0.2764,0.4841,0.493,0.2421,0.1999
song_1,std,emotify,0.3529,0.4714,0.4061,0.4545,0.4841,0.1428,0.2764,0.2421,0.4635
song_1,std,diff,0.0801,-0.1659,0.0,-0.0818,-0.2077,0.3413,0.2166,0.0,-0.2636
song_2,std,gemini,0.279,0.356,0.4738,0.4944,0.4944,0.1443,0.2019,0.0,0.3935
song_2,std,emotify,0.4473,0.4093,0.1443,0.2018,0.1443,0.4999,0.4805,0.4093,0.1443
song_2,std,diff,-0.1683,-0.0533,0.3295,0.2926,0.3501,-0.3556,-0.2786,-0.4093,0.2492
song_3,std,gemini,0.4297,0.4,0.4629,0.4422,0.34,0.4989,0.4714,0.2846,0.2494
song_3,std,emotify,0.2846,0.4939,0.3624,0.4629,0.4999,0.2061,0.2494,0.4,0.4532
song_3,std,diff,0.1451,-0.0939,0.1005,-0.0207,-0.1599,0.2928,0.222,-0.1154,-0.2038
song_4,std,gemini,0.4552,0.3632,0.2849,0.3147,0.2063,0.4816,0.4313,0.4011,0.2496
song_4,std,emotify,0.4995,0.4827,0.1458,0.1458,0.3113,0.4924,0.4957,0.1458,0.0
song_4,std,diff,-0.0443,-0.1195,0.1391,0.1689,-0.105,-0.0108,-0.0644,0.2553,0.2496
song_5,std,gemini,0.3307,0.3891,0.2932,0.2744,0.1983,0.4973,0.4998,0.4684,0.319
song_5,std,emotify,0.4556,0.4556,0.0,0.2353,0.0,0.4991,0.4922,0.4779,0.0
song_5,std,diff,-0.1249,-0.0665,0.2932,0.0391,0.1983,-0.0018,0.0076,-0.0095,0.319
song_6,std,gemini,0.3812,0.3221,0.4991,0.4922,0.4922,0.2352,0.4242,0.0,0.3221
song_6,std,emotify,0.4556,0.4779,0.3812,0.3222,0.0,0.4779,0.4556,0.4556,0.2353
song_6,std,diff,-0.0744,-0.1558,0.1179,0.17,0.4922,-0.2427,-0.0314,-0.4556,0.0868
song_7,std,gemini,0.3812,0.4242,0.4922,0.4779,0.3812,0.2353,0.3222,0.2353,0.4556
