State,Date,Year,Month,CPI_Rural,CPI_Urban,CPI_Combined,Inflation_Rural,Inflation_Urban,Inflation_Combined
Andhra Pradesh,2020-01-01,2020,1,142.73,148.53,145.63,3.85,6.23,5.04
Andhra Pradesh,2020-02-01,2020,2,143.98,149.16,146.57,3.4,5.28,4.34
Andhra Pradesh,2020-03-01,2020,3,140.22,143.88,142.05,6.91,6.94,6.92
Andhra Pradesh,2020-04-01,2020,4,139.3,144.05,141.68,5.47,4.74,5.11
Andhra Pradesh,2020-05-01,2020,5,139.11,144.39,141.75,3.39,5.35,4.37
Andhra Pradesh,2020-06-01,2020,6,142.27,145.44,143.86,6.82,5.49,6.15
Andhra Pradesh,2020-07-01,2020,7,147.45,151.06,149.26,4.09,4.06,4.07
Andhra Pradesh,2020-08-01,2020,8,147.06,150.22,148.64,3.23,3.46,3.35
Andhra Pradesh,2020-09-01,2020,9,146.65,151.64,149.15,5.99,6.8,6.4
Andhra Pradesh,2020-10-01,2020,10,146.78,151.5,149.14,4.79,4.86,4.83
Andhra Pradesh,2020-11-01,2020,11,150.42,159.96,155.19,5.91,6.7,6.3
Andhra Pradesh,2020-12-01,2020,12,151.83,161.13,156.48,6.16,4.49,5.32
Andhra Pradesh,2021-01-01,2021,1,151.9,157.93,154.92,6.15,6.64,6.4
Andhra Pradesh,2021-02-01,2021,2,150.19,154.1,152.14,4.64,3.73,4.18
Andhra Pradesh,2021-03-01,2021,3,148.54,155.01,151.78,3.19,4.01,3.6
Andhra Pradesh,2021-04-01,2021,4,149.85,154.38,152.11,3.79,3.26,3.53
Andhra Pradesh,2021-05-01,2021,5,150.5,155.2,152.85,3.93,3.49,3.71
Andhra Pradesh,2021-06-01,2021,6,153.43,156.57,155.0,5.64,4.07,4.86
Andhra Pradesh,2021-07-01,2021,7,153.35,155.41,154.38,5.28,2.98,4.13
Andhra Pradesh,2021-08-01,2021,8,153.1,157.88,155.49,4.8,4.3,4.55
Andhra Pradesh,2021-09-01,2021,9,151.59,158.52,155.05,3.47,4.39,3.93
Andhra Pradesh,2021-10-01,2021,10,151.45,157.77,154.61,3.07,3.58,3.33
Andhra Pradesh,2021-11-01,2021,11,151.16,160.23,155.7,2.58,4.87,3.73
Andhra Pradesh,2021-12-01,2021,12,152.49,162.94,157.71,3.18,6.32,4.75
Andhra Pradesh,2022-01-01,2022,1,153.72,157.56,155.64,3.71,2.49,3.1
Andhra Pradesh,2022-02-01,2022,2,154.07,160.04,157.06,3.65,3.79,3.72
Andhra Pradesh,2022-03-01,2022,3,161.4,167.61,164.5,8.27,8.37,8.32
Andhra Pradesh,2022-04-01,2022,4,161.28,168.61,164.94,7.89,8.69,8.29
Andhra Pradesh,2022-05-01,2022,5,158.05,169.67,163.86,5.42,9.04,7.23
Andhra Pradesh,2022-06-01,2022,6,162.23,168.69,165.46,7.91,8.09,8.0
Andhra Pradesh,2022-07-01,2022,7,164.82,170.28,167.55,9.32,8.78,9.05
Andhra Pradesh,2022-08-01,2022,8,166.11,170.49,168.3,9.86,8.59,9.22
Andhra Pradesh,2022-09-01,2022,9,162.16,170.49,166.33,6.95,8.26,7.61
Andhra Pradesh,2022-10-01,2022,10,165.51,172.34,168.92,8.85,9.11,8.98
Andhra Pradesh,2022-11-01,2022,11,163.97,176.28,170.12,7.54,11.28,9.41
Andhra Pradesh,2022-12-01,2022,12,164.27,174.08,169.17,7.43,9.57,8.5
Andhra Pradesh,2023-01-01,2023,1,165.54,173.7,169.62,7.96,9.0,8.48
Andhra Pradesh,2023-02-01,2023,2,164.05,174.63,169.34,6.7,9.27,7.98
Andhra Pradesh,2023-03-01,2023,3,165.74,174.63,170.18,7.5,8.95,8.22
Andhra Pradesh,2023-04-01,2023,4,167.73,174.86,171.29,8.49,8.77,8.63
Andhra Pradesh,2023-05-01,2023,5,164.27,174.68,169.48,5.96,8.35,7.15
Andhra Pradesh,2023-06-01,2023,6,171.08,175.58,173.33,10.05,8.59,9.32
Andhra Pradesh,2023-07-01,2023,7,164.82,169.0,166.91,5.73,4.21,4.97
Andhra Pradesh,2023-08-01,2023,8,163.49,169.16,166.32,4.59,4.01,4.3
Andhra Pradesh,2023-09-01,2023,9,162.5,168.79,165.65,3.68,3.49,3.58
Andhra Pradesh,2023-10-01,2023,10,163.09,169.39,166.24,3.77,3.56,3.67
Andhra Pradesh,2023-11-01,2023,11,160.85,174.07,167.46,2.07,6.12,4.09
Andhra Pradesh,2023-12-01,2023,12,163.99,173.59,168.79,3.78,5.52,4.65
Andhra Pradesh,2024-01-01,2024,1,163.62,171.43,167.53,3.27,3.91,3.59
Andhra Pradesh,2024-02-01,2024,2,164.55,169.46,167.01,3.58,2.43,3.0
Andhra Pradesh,2024-03-01,2024,3,164.26,171.58,167.92,3.12,3.42,3.27
Andhra Pradesh,2024-04-01,2024,4,165.16,171.5,168.33,3.41,3.08,3.24
Andhra Pradesh,2024-05-01,2024,5,165.99,171.36,168.67,3.65,2.7,3.18
Andhra Pradesh,2024-06-01,2024,6,168.48,171.73,170.1,4.93,2.63,3.78
Andhra Pradesh,2024-07-01,2024,7,168.82,173.31,171.06,4.86,3.29,4.07
Andhra Pradesh,2024-08-01,2024,8,170.44,174.18,172.31,5.59,3.52,4.55
Andhra Pradesh,2024-09-01,2024,9,166.26,174.07,170.16,2.73,3.17,2.95
Andhra Pradesh,2024-10-01,2024,10,166.92,173.63,170.27,2.86,2.62,2.74
Andhra Pradesh,2024-11-01,2024,11,169.88,178.52,174.2,4.41,5.22,4.82
Andhra Pradesh,2024-12-01,2024,12,168.58,179.67,174.12,3.34,5.6,4.47
Andhra Pradesh,2025-01-01,2025,1,169.08,176.05,172.56,3.38,3.19,3.29
Andhra Pradesh,2025-02-01,2025,2,167.04,176.02,171.53,1.87,2.9,2.38
Andhra Pradesh,2025-03-01,2025,3,168.26,177.48,172.87,2.34,3.46,2.9
Andhra Pradesh,2025-04-01,2025,4,168.43,178.98,173.7,2.18,4.05,3.12
Andhra Pradesh,2025-05-01,2025,5,171.46,178.82,175.14,3.75,3.68,3.72
Andhra Pradesh,2025-06-01,2025,6,173.98,177.63,175.8,5.0,2.71,3.86
Andhra Pradesh,2025-07-01,2025,7,175.72,177.57,176.64,5.78,2.4,4.09
Andhra Pradesh,2025-08-01,2025,8,172.61,179.67,176.14,3.64,3.33,3.49
Andhra Pradesh,2025-09-01,2025,9,173.06,180.87,176.96,3.65,3.74,3.69
Andhra Pradesh,2025-10-01,2025,10,173.88,180.25,177.07,3.88,3.1,3.49
Andhra Pradesh,2025-11-01,2025,11,171.81,184.39,178.1,2.38,5.19,3.79
Andhra Pradesh,2025-12-01,2025,12,174.99,185.95,180.47,4.01,5.8,4.9
Andhra Pradesh,2026-01-01,2026,1,174.99,180.91,177.95,3.74,2.66,3.2
Arunachal Pradesh,2020-01-01,2020,1,150.32,156.08,153.2,5.88,5.34,5.61
Arunachal Pradesh,2020-02-01,2020,2,150.93,156.32,153.63,6.01,5.37,5.69
Arunachal Pradesh,2020-03-01,2020,3,147.61,149.92,148.77,5.5,6.67,6.08
Arunachal Pradesh,2020-04-01,2020,4,146.09,150.61,148.35,4.53,3.6,4.06
Arunachal Pradesh,2020-05-01,2020,5,147.46,151.36,149.41,4.75,5.43,5.09
Arunachal Pradesh,2020-06-01,2020,6,150.57,151.56,151.07,5.5,5.8,5.65
Arunachal Pradesh,2020-07-01,2020,7,155.29,158.79,157.04,5.82,5.94,5.88
Arunachal Pradesh,2020-08-01,2020,8,155.71,158.43,157.07,5.13,4.47,4.8
Arunachal Pradesh,2020-09-01,2020,9,154.11,159.48,156.79,5.07,4.38,4.72
Arunachal Pradesh,2020-10-01,2020,10,153.9,159.77,156.84,5.14,4.41,4.78
Arunachal Pradesh,2020-11-01,2020,11,157.69,168.72,163.2,5.36,3.61,4.49
Arunachal Pradesh,2020-12-01,2020,12,158.01,168.87,163.44,5.45,6.17,5.81
Arunachal Pradesh,2021-01-01,2021,1,159.36,166.25,162.81,5.99,7.01,6.5
Arunachal Pradesh,2021-02-01,2021,2,156.59,161.34,158.97,3.83,3.52,3.67
Arunachal Pradesh,2021-03-01,2021,3,156.37,162.19,159.28,3.37,3.72,3.55
Arunachal Pradesh,2021-04-01,2021,4,157.45,162.96,160.2,3.77,3.88,3.82
Arunachal Pradesh,2021-05-01,2021,5,157.98,163.49,160.74,3.8,3.88,3.84
Arunachal Pradesh,2021-06-01,2021,6,160.57,164.22,162.39,5.18,4.01,4.6
Arunachal Pradesh,2021-07-01,2021,7,160.7,164.17,162.44,4.96,3.65,4.3
Arunachal Pradesh,2021-08-01,2021,8,161.69,164.58,163.14,5.29,3.58,4.43
Arunachal Pradesh,2021-09-01,2021,9,158.8,165.35,162.07,3.09,3.73,3.41
Arunachal Pradesh,2021-10-01,2021,10,159.28,165.73,162.5,3.1,3.64,3.37
Arunachal Pradesh,2021-11-01,2021,11,160.83,170.05,165.44,3.79,6.01,4.9
Arunachal Pradesh,2021-12-01,2021,12,161.11,170.47,165.79,3.66,5.93,4.8
Arunachal Pradesh,2022-01-01,2022,1,160.87,167.78,164.32,3.2,3.94,3.57
Arunachal Pradesh,2022-02-01,2022,2,162.55,168.32,165.43,3.98,3.95,3.96
Arunachal Pradesh,2022-03-01,2022,3,168.06,176.34,172.2,7.19,8.56,7.88
Arunachal Pradesh,2022-04-01,2022,4,169.03,177.83,173.43,7.49,9.14,8.31
Arunachal Pradesh,2022-05-01,2022,5,170.57,177.86,174.21,8.15,8.82,8.49
Arunachal Pradesh,2022-06-01,2022,6,172.38,178.91,175.64,8.98,9.12,9.05
Arunachal Pradesh,2022-07-01,2022,7,172.57,178.78,175.67,8.79,8.71,8.75
Arunachal Pradesh,2022-08-01,2022,8,174.25,179.84,177.05,9.53,9.02,9.28
Arunachal Pradesh,2022-09-01,2022,9,172.27,180.29,176.28,7.97,8.96,8.47
Arunachal Pradesh,2022-10-01,2022,10,171.09,181.25,176.17,6.93,9.21,8.07
Arunachal Pradesh,2022-11-01,2022,11,172.89,185.2,179.04,7.75,11.25,9.5
Arunachal Pradesh,2022-12-01,2022,12,173.03,185.39,179.21,7.52,11.03,9.27
Arunachal Pradesh,2023-01-01,2023,1,173.92,181.54,177.73,7.77,8.39,8.08
Arunachal Pradesh,2023-02-01,2023,2,173.96,182.12,178.04,7.49,8.41,7.95
Arunachal Pradesh,2023-03-01,2023,3,175.4,182.91,179.15,8.07,8.55,8.31
Arunachal Pradesh,2023-04-01,2023,4,176.01,184.31,180.16,8.14,9.06,8.6
Arunachal Pradesh,2023-05-01,2023,5,175.06,184.83,179.94,7.25,9.04,8.14
Arunachal Pradesh,2023-06-01,2023,6,178.2,185.04,181.62,8.87,8.84,8.86
Arunachal Pradesh,2023-07-01,2023,7,172.63,176.53,174.58,5.18,3.52,4.35
Arunachal Pradesh,2023-08-01,2023,8,172.47,177.44,174.95,4.78,3.75,4.27
Arunachal Pradesh,2023-09-01,2023,9,169.95,177.72,173.84,2.96,3.61,3.29
Arunachal Pradesh,2023-10-01,2023,10,171.57,178.76,175.16,3.66,3.91,3.78
Arunachal Pradesh,2023-11-01,2023,11,170.74,182.84,176.79,2.87,5.97,4.42
Arunachal Pradesh,2023-12-01,2023,12,171.49,183.24,177.36,3.03,5.89,4.46
Arunachal Pradesh,2024-01-01,2024,1,172.46,179.84,176.15,3.33,3.63,3.48
Arunachal Pradesh,2024-02-01,2024,2,172.35,180.16,176.26,2.99,3.51,3.25
Arunachal Pradesh,2024-03-01,2024,3,173.18,180.97,177.07,3.2,3.67,3.43
Arunachal Pradesh,2024-04-01,2024,4,174.15,181.19,177.67,3.49,3.5,3.5
Arunachal Pradesh,2024-05-01,2024,5,174.54,180.8,177.67,3.44,2.98,3.21
Arunachal Pradesh,2024-06-01,2024,6,177.38,182.43,179.9,4.84,3.61,4.22
Arunachal Pradesh,2024-07-01,2024,7,177.24,182.51,179.88,4.47,3.36,3.92
Arunachal Pradesh,2024-08-01,2024,8,178.67,182.63,180.65,5.03,3.13,4.08
Arunachal Pradesh,2024-09-01,2024,9,176.49,183.62,180.05,3.47,3.39,3.43
Arunachal Pradesh,2024-10-01,2024,10,176.17,184.37,180.27,3.0,3.52,3.26
Arunachal Pradesh,2024-11-01,2024,11,177.82,188.33,183.08,3.69,5.45,4.57
Arunachal Pradesh,2024-12-01,2024,12,178.08,188.59,183.33,3.56,5.3,4.43
Arunachal Pradesh,2025-01-01,2025,1,177.68,186.46,182.07,3.06,3.82,3.44
Arunachal Pradesh,2025-02-01,2025,2,178.36,185.88,182.12,3.18,3.2,3.19
Arunachal Pradesh,2025-03-01,2025,3,178.78,186.75,182.76,3.15,3.39,3.27
Arunachal Pradesh,2025-04-01,2025,4,180.01,187.33,183.67,3.58,3.42,3.5
Arunachal Pradesh,2025-05-01,2025,5,179.59,188.12,183.86,3.07,3.57,3.32
Arunachal Pradesh,2025-06-01,2025,6,182.61,188.61,185.61,4.52,3.56,4.04
Arunachal Pradesh,2025-07-01,2025,7,182.9,189.31,186.11,4.42,3.65,4.03
Arunachal Pradesh,2025-08-01,2025,8,184.16,189.09,186.63,4.86,3.24,4.05
Arunachal Pradesh,2025-09-01,2025,9,182.09,190.0,186.05,3.41,3.46,3.43
Arunachal Pradesh,2025-10-01,2025,10,182.67,190.45,186.56,3.47,3.41,3.44
Arunachal Pradesh,2025-11-01,2025,11,182.11,195.03,188.57,2.89,5.61,4.25
Arunachal Pradesh,2025-12-01,2025,12,182.61,194.96,188.79,2.9,5.29,4.1
Arunachal Pradesh,2026-01-01,2026,1,183.44,190.9,187.17,3.1,2.81,2.96
Assam,2020-01-01,2020,1,148.14,152.39,150.26,6.58,5.25,5.91
Assam,2020-02-01,2020,2,153.57,157.53,155.55,4.22,4.76,4.49
Assam,2020-03-01,2020,3,145.27,151.54,148.4,5.56,4.48,5.02
Assam,2020-04-01,2020,4,144.83,152.89,148.86,4.44,4.51,4.48
Assam,2020-05-01,2020,5,149.94,151.13,150.54,4.88,3.4,4.14
Assam,2020-06-01,2020,6,151.24,151.22,151.23,4.41,3.65,4.03
Assam,2020-07-01,2020,7,154.66,155.81,155.24,5.81,4.56,5.19
Assam,2020-08-01,2020,8,153.59,159.99,156.79,4.59,6.43,5.51
Assam,2020-09-01,2020,9,156.8,160.65,158.72,5.81,3.35,4.58
Assam,2020-10-01,2020,10,155.19,161.54,158.36,4.45,3.87,4.16
Assam,2020-11-01,2020,11,160.4,169.81,165.1,5.69,4.87,5.28
Assam,2020-12-01,2020,12,157.03,171.96,164.49,6.3,4.79,5.55
Assam,2021-01-01,2021,1,157.8,164.85,161.33,4.76,5.92,5.34
Assam,2021-02-01,2021,2,157.72,164.3,161.01,4.33,5.16,4.75
Assam,2021-03-01,2021,3,157.1,163.71,160.4,3.54,4.38,3.96
Assam,2021-04-01,2021,4,160.0,167.27,163.64,5.08,6.25,5.66
