name,platform,dependents_count,dependent_repos_count,stars,forks,contributions_count,rank,gap,reverse_gap,hidden_score,critical_fragile,staleness_years,release_count,releases_per_year,first_release_year,last_release_year,license,domain,repo_host,repo_org,status,deprecation_reason,cluster,keywords_text
typescript,npm,1182837,390669,107374,13205,644,36,0.48111520574556543,-0.48111520574556543,-0.29661739422927846,1.971053000411286,0.0,3682,245.46666666666667,2012,2026,Apache-2.0,devtools,github.com,microsoft,,,7,typescript microsoft compiler language javascript typechecker
eslint,npm,829497,331460,26774,4878,833,34,0.3983829069689939,-0.3983829069689939,-0.09793969296172822,1.9647030236594931,0.07118412046543464,406,31.23076923076923,2013,2025,MIT,devtools,github.com,eslint,,,7,ast lint javascript ecmascript espree eslint linter static-code-analysis
@types/node,npm,695954,230981,50793,30543,1814,35,0.4790030218730479,-0.4790030218730479,-0.2769055018891975,1.1810560317282326,0.06023271731690623,2258,225.8,2016,2025,MIT,other,github.com,definitelytyped,,,7,definition dts hacktoberfest types typescript typescript-definitions typings
prettier,npm,430070,194638,51343,4625,660,35,0.34431029410236924,-0.34431029410236924,-0.45385984819431635,1.3793553997089498,0.09856262833675565,183,20.333333333333332,2017,2025,MIT,web,github.com,prettier,,,7,angular ast css flow formatter graphql html javascript json jsx less markdown prettier printer scss typescript vue yaml
react,npm,411088,93095,242077,50312,992,35,0.6450048346873318,-0.6450048346873318,-0.48321038628268353,0.6454883601197859,0.0,2658,166.125,2011,2026,MIT,multi,github.com,facebook,,,7,react declarative frontend javascript library ui
@types/react,npm,397920,91941,50793,30543,1814,35,0.6362829126787952,-0.6362829126787952,-0.1352697029637624,0.7417213031436907,0.12320328542094455,684,68.4,2016,2025,MIT,web,github.com,definitelytyped,,,7,definition dts hacktoberfest types typescript typescript-definitions typings
jest,npm,388290,176024,45154,6613,977,35,0.34358297138105787,-0.34358297138105787,-0.449922975243197,1.1920030843004117,0.2792607802874743,377,26.928571428571427,2012,2025,MIT,testing,github.com,jestjs,,,7,ava babel coverage easy expect facebook immersive instant jasmine jest jsdom mocha mocking painless qunit runner sandboxed snapshot tap tape test testing typescript watch expectation javascript painless-javascript-testing
mocha,npm,364181,193309,22861,3062,568,33,0.27506415579249577,-0.27506415579249577,-0.3656356738530353,1.504326720584669,0.008213552361396304,225,14.0625,2011,2026,MIT,testing,github.com,mochajs,,,7,mocha test bdd tdd tap testing chai assertion ava jest tape jasmine karma browser javascript mochajs node nodejs test-framework testing-tools
react-dom,npm,349035,71774,242077,50312,992,35,0.6868970217649482,-0.6868970217649482,-0.44798279719319267,0.5109326766825416,0.0,2613,201.0,2014,2026,MIT,web,github.com,facebook,,,7,react declarative frontend javascript library ui
@types/react-dom,npm,304236,58687,50793,30543,1814,33,0.7146627203085538,-0.7146627203085538,-0.06296635570831999,0.5315985796005579,0.15605749486652978,182,18.2,2016,2025,MIT,web,github.com,definitelytyped,,,7,definition dts hacktoberfest types typescript typescript-definitions typings
@babel/core,npm,291439,111873,43833,5787,807,32,0.4158199918890908,-0.4158199918890908,-0.37784896597123785,1.0349192044544644,0.2080766598220397,216,24.0,2017,2025,MIT,devtools,github.com,babel,,,7,6to5 babel classes const es6 harmony let modules transpile transpiler var babel-core compiler ast es2015 flavortown javascript
webpack,npm,287914,107450,65829,9190,750,32,0.42805383001238795,-0.42805383001238795,-0.4799443436892017,0.8921959617927219,0.057494866529774126,868,62.0,2012,2025,MIT,devtools,github.com,webpack,,,7,amd build-tool commonjs compiler es2015 es6 esm javascript javascript-compiler javascript-modules loaders module-bundler plugins web web-performance webpack
@types/jest,npm,282243,115420,50793,30543,1814,33,0.3883398856873086,-0.3883398856873086,-0.5661716109938855,0.6017505273153723,0.5639972621492129,210,21.0,2016,2025,MIT,testing,github.com,definitelytyped,,,7,definition dts hacktoberfest types typescript typescript-definitions typings
@typescript-eslint/parser,npm,262120,113567,16042,2856,1539,32,0.3632458384671038,-0.3632458384671038,-0.19828830861916447,0.8548628332366597,0.0027378507871321013,4514,564.25,2019,2026,MIT,devtools,github.com,typescript-eslint,,,7,ast ecmascript javascript typescript parser syntax eslint eslint-plugin eslintplugin plugin tslint
@typescript-eslint/eslint-plugin,npm,261393,113366,16042,2856,1539,32,0.362808960454009,-0.362808960454009,-0.19941578534539173,0.8525790110668134,0.0027378507871321013,4431,553.875,2019,2026,MIT,devtools,github.com,typescript-eslint,,,7,eslint eslintplugin eslint-plugin typescript plugin tslint
chai,npm,256532,122691,8263,717,200,31,0.3203269940525395,-0.3203269940525395,-0.05329812853962235,2.0203465964975282,0.04380561259411362,110,7.333333333333333,2011,2025,MIT,testing,github.com,chaijs,,,7,test assertion assert testing chai assertions bdd javascript tdd
rimraf,npm,254133,107187,5820,263,33,31,0.37491660460998233,-0.37491660460998233,0.1387369230384553,2.988341942212286,0.13415468856947296,86,5.733333333333333,2011,2025,BlueOak-1.0.0,devtools,github.com,isaacs,,,7,rm rm -rf rm -fr remove directory cli rmdir recursive
@babel/preset-env,npm,238638,97674,43833,5787,807,32,0.38795800058041596,-0.38795800058041596,-0.45361129467179495,0.8705574169401363,0.2080766598220397,196,21.77777777777778,2017,2025,MIT,devtools,github.com,babel,,,7,ast babel compiler es2015 es6 flavortown javascript
axios,npm,234460,58094,108422,11468,526,33,0.6059318569223526,-0.6059318569223526,-0.3817146172910406,0.7934826496083671,0.17522245037645448,124,10.333333333333334,2014,2025,MIT,web,github.com,axios,,,7,xhr http ajax promise node browser fetch rest api client hacktoberfest http-client javascript nodejs
rollup,npm,215044,89012,26182,1664,431,32,0.3830759109642967,-0.3830759109642967,-0.31309105056159203,1.1800663099024478,0.008213552361396304,919,76.58333333333333,2015,2026,MIT,devtools,github.com,rollup,,,7,modules bundler bundling es6 optimizer
ts-node,npm,215977,89550,13118,545,112,29,0.38233907529997513,-0.38233907529997513,-0.10949015467171064,2.6893745938514897,2.086242299794661,128,14.222222222222221,2015,2023,MIT,devtools,github.com,typestrong,,,7,typescript node runtime environment ts compiler hacktoberfest nodejs repl ts-node typescript-compiler typescript-node
eslint-config-prettier,npm,217687,99483,5798,264,44,31,0.3400812504878088,-0.3400812504878088,0.06112625561632845,2.8400652232825268,0.4736481861738535,89,9.88888888888889,2017,2025,MIT,devtools,github.com,prettier,,,7,eslint eslintconfig prettier eslint-config react
babel-loader,npm,230060,84148,4850,452,124,29,0.4367940438708793,-0.4367940438708793,0.2542345623739548,2.5686183198533112,0.8596851471594799,82,7.454545454545454,2015,2025,MIT,devtools,github.com,babel,,,7,webpack loader babel es6 transpiler module
eslint-plugin-import,npm,233826,113483,5798,1547,371,30,0.31396002261439726,-0.31396002261439726,-0.021005369728163137,1.8761724774881003,0.5503080082135524,136,12.363636363636363,2015,2025,MIT,devtools,github.com,import-js,,,7,eslint eslintplugin eslint-plugin es6 jsnext modules import export code-quality hacktoberfest javascript lint linting
postcss,npm,197289,37428,28869,1583,424,30,0.7218968486952111,-0.7218968486952111,0.15594211223687648,1.270006879127128,0.5612594113620808,271,20.846153846153847,2013,2025,MIT,web,github.com,postcss,,,7,css postcss rework preprocessor parser source map transform manipulation transpiler ast framework
ts-jest,npm,197198,89575,7074,468,190,30,0.34271304309443273,-0.34271304309443273,-0.014250159292959252,1.8966002776091,0.10130047912388775,212,21.2,2016,2025,MIT,testing,github.com,kulshekhar,,,7,jest typescript sourcemap react testing
chalk,npm,184852,74137,22787,891,63,31,0.39678563716868354,-0.39678563716868354,-0.27167869037070447,2.1037842553534967,0.33127994524298426,44,3.3846153846153846,2013,2025,MIT,devtools,github.com,chalk,,,7,color colour colors terminal console cli string ansi style styles tty formatting rgb 256 shell xterm log logging command-line text ansi-escape-codes chalk commandline javascript strip-ansi terminal-emulators
tailwindcss,npm,168969,25290,91927,4865,797,31,0.824843602492936,-0.824843602492936,-0.04689174433583676,0.33473328353616605,0.0027378507871321013,2441,244.1,2017,2026,MIT,web,github.com,tailwindlabs,,,7,css css-framework functional-css postcss responsive tailwindcss utility-classes
eslint-plugin-prettier,npm,169828,77529,3564,205,50,31,0.34054206839656675,-0.34054206839656675,0.1558554412529254,2.6972973738227273,0.4243668720054757,59,6.555555555555555,2017,2025,MIT,devtools,github.com,prettier,,,7,eslint eslintplugin eslint-plugin prettier
babel-core,npm,168519,78017,43833,5787,807,31,0.33445663752308885,-0.33445663752308885,-0.593002771548301,3.0065039802377305,7.701574264202601,263,65.75,2015,2018,MIT,devtools,github.com,babel,,,7,6to5 babel classes const es6 harmony let modules transpile transpiler var babel-core compiler ast es2015 flavortown javascript
tslib,npm,160911,41828,1321,141,38,29,0.5851109506964116,-0.5851109506964116,0.7855100975375953,3.2961993350472034,1.1854893908281998,46,5.111111111111111,2016,2024,0BSD,devtools,github.com,microsoft,,,7,typescript microsoft compiler language javascript tslib runtime bundle dependency import optimize typescript-helpers
express,npm,158286,52672,68459,21970,339,31,0.47785719364590307,-0.47785719364590307,-0.5600260071375218,0.7332472565180461,0.10130047912388775,317,19.8125,2010,2025,MIT,web,github.com,expressjs,,,7,express framework sinatra web http rest restful router app api javascript nodejs server
