name,dependents_count,dependent_repos_count,staleness_years,latest_release_date,license
ts-node,215977,89550,2.086242299794661,2023-12-08 12:04:46.154000+00:00,MIT
babel-core,168519,78017,7.701574264202601,2018-04-27 09:47:04.101000+00:00,MIT
babel-eslint,159158,74475,5.867214236824093,2020-02-26 00:13:23.677000+00:00,MIT
lodash,127921,43194,4.878850102669404,2021-02-20 15:42:16.891000+00:00,MIT
babel-cli,106660,59298,8.229979466119097,2017-10-15 13:12:43.230000+00:00,MIT
babel-preset-es2015,101630,58905,8.229979466119097,2017-10-15 13:12:51.746000+00:00,MIT
babel-preset-env,93112,43213,7.663244353182751,2018-05-10 14:31:21.930000+00:00,MIT
tslint,92511,44864,5.437371663244353,2020-07-31 17:25:07.479000+00:00,Apache-2.0
moment,87217,27657,2.0342231348391513,2023-12-27 10:38:43.272000+00:00,MIT
prop-types,83866,30501,4.008213552361396,2022-01-05 00:08:33.458000+00:00,MIT
node-sass,78808,25679,2.639288158795346,2023-05-20 06:03:42.097000+00:00,MIT
unique-names-generator,76656,105,3.890485968514716,2022-02-16 21:55:41.382000+00:00,MIT
vue-template-compiler,72960,17663,2.0396988364134154,2023-12-24 15:02:16.927000+00:00,MIT
request,68156,38099,5.905544147843942,2020-02-11 16:35:36.122000+00:00,Apache-2.0
eslint-plugin-node,67556,33778,5.782340862422998,2020-03-28 11:46:46.795000+00:00,MIT
file-loader,66864,22639,5.196440793976728,2020-10-27 17:10:43.883000+00:00,MIT
npm-run-all,66223,31153,7.121149897330596,2018-11-24 13:52:41.635000+00:00,MIT
node-fetch,57957,25017,2.3764544832306638,2023-08-23 17:18:39.396000+00:00,MIT
babel-preset-react,56260,28502,8.229979466119097,2017-10-15 13:12:11.790000+00:00,MIT
eslint-config-standard,55856,29384,2.6119096509240247,2023-05-29 16:07:25.183000+00:00,MIT
coveralls,55085,38169,4.528405201916495,2021-06-29 00:56:28.329000+00:00,BSD-2-Clause
eslint-config-airbnb,51465,26134,4.035592060232717,2021-12-25 15:35:01.687000+00:00,MIT
eslint-plugin-standard,51425,26518,5.125256673511293,2020-11-23 01:03:02.656000+00:00,MIT
url-loader,49735,16578,5.245722108145106,2020-10-09 14:09:37.469000+00:00,MIT
@babel/plugin-proposal-class-properties,49541,21367,2.7624914442162902,2023-04-04 15:13:53.478000+00:00,MIT
istanbul,48862,35561,9.379876796714578,2016-08-21 20:02:09.468000+00:00,BSD-3-Clause
rollup-plugin-terser,48202,19955,5.341546885694729,2020-09-04 18:39:17.900000+00:00,MIT
rollup-plugin-node-resolve,47808,24429,6.529774127310062,2019-06-29 07:19:01.573000+00:00,MIT
rollup-plugin-babel,46368,23463,5.738535249828884,2020-04-13 08:22:40.598000+00:00,MIT
eslint-config-airbnb-base,45873,25930,4.164271047227926,2021-11-09 07:20:04.037000+00:00,MIT
karma-chrome-launcher,45031,19046,2.7186858316221767,2023-04-20 19:45:45.621000+00:00,MIT
