name,dependents_count,dependent_repos_count,staleness_years,latest_release_date,license
odoo,18189,241,4.0629705681040384,2021-12-15 15:15:02.758000+00:00,Unknown
colorama,9527,5406,3.2060232717316905,2022-10-25 02:38:17.509000+00:00,BSD-3-Clause
tabulate,5394,2994,3.2553045859000687,2022-10-06 17:23:25.701000+00:00,MIT
toml,5158,3133,5.1854893908282,2020-11-01 01:40:20+00:00,MIT
chardet,3493,2127,2.43668720054757,2023-08-01 19:23:00+00:00,LGPL-2.1
sklearn,2726,1699,2.102669404517454,2023-12-01 14:30:39+00:00,Unknown
appdirs,2688,1802,5.661875427789186,2020-05-11 07:59:49+00:00,MIT
argparse,2498,1493,10.316221765913758,2015-09-14 16:03:16+00:00,PSF-2.0
pyserial,2329,1478,5.125256673511293,2020-11-23 04:08:17.709000+00:00,BSD-3-Clause
dataclasses,2039,1426,5.149897330595483,2020-11-13 14:40:29+00:00,Apache-2.0
sphinx-copybutton,2033,1495,2.737850787132101,2023-04-14 08:10:59.583000+00:00,MIT
typing,2030,1247,4.687200547570157,2021-05-01 18:03:55+00:00,Python-2.0
requests-toolbelt,1974,661,2.6913073237508556,2023-05-01 04:12:06.235000+00:00,Apache-2.0
docopt,1965,1402,11.564681724845997,2014-06-16 11:18:57+00:00,MIT
nose,1596,1099,10.603696098562628,2015-06-02 09:12:36+00:00,LGPL-2.1+
codecov,1543,1223,2.726899383983573,2023-04-17 23:13:08.136000+00:00,Apache-2.0
PyPDF2,1539,737,3.0143737166324436,2023-01-02 18:14:02.166000+00:00,BSD-3-Clause
peppercorn,1399,74,7.3757700205338805,2018-08-24 06:30:12.381000+00:00,Other
publication,1391,529,6.981519507186858,2019-01-15 07:52:22+00:00,MIT
pathlib,1352,805,11.345653661875428,2014-09-03 15:41:57+00:00,MIT
enum34,1334,853,5.8288843258042435,2020-03-10 17:47:58+00:00,BSD-3-Clause
coloredlogs,1225,704,4.577686516084873,2021-06-11 10:24:04.382000+00:00,MIT
bump2version,1208,798,5.25119780971937,2020-10-07 18:38:38+00:00,MIT
mdurl,1199,259,3.403148528405202,2022-08-14 12:40:32.481000+00:00,MIT
pexpect,1120,638,2.1218343600273784,2023-11-25 06:56:14+00:00,ISC
recommonmark,1075,770,5.0568104038329915,2020-12-17 19:33:10+00:00,MIT
html5lib,1062,667,5.544147843942505,2020-06-22 23:32:36+00:00,MIT
jmespath,1010,504,3.5592060232717317,2022-06-17 18:00:10+00:00,MIT
defusedxml,1004,648,2.2778918548939084,2023-09-29 08:01:25+00:00,Python-2.0
pydocstyle,998,754,2.973305954825462,2023-01-17 20:31:11.783000+00:00,MIT
py,977,622,4.0629705681040384,2021-12-15 13:43:05.299000+00:00,MIT
gym,975,573,2.4695414099931554,2023-07-20 15:30:49.667000+00:00,MIT
backoff,969,497,3.2580424366872007,2022-10-05 19:20:40.382000+00:00,MIT
wget,951,601,10.212183436002737,2015-10-22 15:26:37+00:00,Unlicense
python-magic,944,598,3.586584531143053,2022-06-07 20:16:57+00:00,MIT
cycler,907,401,2.2559890485968515,2023-10-07 05:32:16+00:00,Other
pydub,906,463,4.832306639288158,2021-03-10 02:09:53+00:00,MIT
webencodings,888,460,8.758384668035593,2017-04-05 20:21:32+00:00,BSD-3-Clause
pika,883,385,2.6776180698151952,2023-05-05 14:25:57.981000+00:00,BSD-3-Clause
flake8-docstrings,883,619,2.951403148528405,2023-01-25 17:25:57.858000+00:00,MIT
ffmpeg-python,879,492,6.510609171800137,2019-07-06 00:19:07+00:00,Apache-2.0
natsort,870,591,2.5544147843942504,2023-06-20 04:19:05.975000+00:00,MIT
Flask-SQLAlchemy,827,501,2.324435318275154,2023-09-11 21:42:34+00:00,BSD-3-Clause
rfc3986,802,360,3.994524298425736,2022-01-10 00:54:02.787000+00:00,Apache-2.0
sortedcontainers,794,463,4.646132785763176,2021-05-16 22:03:41+00:00,Apache-2.0
PySocks,782,357,6.3025325119780975,2019-09-20 02:06:20+00:00,BSD-3-Clause
PyAutoGUI,774,260,2.625598904859685,2023-05-24 20:13:07.561000+00:00,BSD-3-Clause
distro,773,395,2.0424366872005475,2023-12-24 09:54:30+00:00,Apache-2.0
bumpversion,771,565,5.653661875427789,2020-05-14 02:19:37+00:00,MIT
pytest-runner,747,526,2.0971937029431897,2023-12-04 01:03:28+00:00,MIT
Brotli,727,439,2.3353867214236823,2023-09-07 14:03:16+00:00,MIT
fuzzywuzzy,715,475,5.900068446269678,2020-02-13 21:06:25+00:00,GPL-2.0
pycrypto,707,450,11.553730321697467,2014-06-20 08:10:20+00:00,Unlicense
pyrsistent,689,351,2.2039698836413417,2023-10-25 21:06:04+00:00,MIT
PyAudio,680,319,2.1711156741957565,2023-11-07 07:11:33+00:00,MIT
oauth2client,679,377,7.3347022587268995,2018-09-07 21:38:16+00:00,Apache-2.0
ipdb,676,442,2.833675564681725,2023-03-09 15:41:00.602000+00:00,BSD-3-Clause
inflection,659,418,5.379876796714579,2020-08-22 08:16:27+00:00,MIT
passlib,615,325,5.248459958932238,2020-10-08 19:42:50.202000+00:00,BSD-3-Clause
PySide2,595,401,3.9835728952772076,2022-01-14 06:58:40+00:00,Other
mccabe,579,355,3.9561943874058865,2022-01-24 01:14:49+00:00,Saxpath
geopy,576,325,2.1245722108145104,2023-11-23 21:49:30+00:00,MIT
sphinxcontrib-napoleon,572,373,7.2908966461327855,2018-09-23 14:16:45+00:00,BSD-3-Clause
netifaces,568,354,4.607802874743326,2021-05-31 08:32:28+00:00,MIT
futures,567,402,3.186858316221766,2022-10-31 21:42:18.266000+00:00,Python-2.0
time,566,243,9.273100616016427,2016-09-30 05:53:35+00:00,Other
jieba,555,283,5.965776865160849,2020-01-20 14:27:23+00:00,MIT
ply,553,349,7.8932238193018485,2018-02-15 19:01:27+00:00,BSD-3-Clause
diskcache,551,310,2.3572895277207393,2023-08-31 06:11:58+00:00,Apache-2.0
odict,531,10,3.652292950034223,2022-05-15 08:08:29+00:00,PSF-2.0
plumber,530,9,3.813826146475017,2022-03-17 08:10:10+00:00,BSD-2-Clause
alibabacloud-openapi-util,506,4,2.212183436002738,2023-10-23 07:44:18+00:00,Apache-2.0
ptyprocess,505,266,5.026694045174538,2020-12-28 15:15:28+00:00,ISC
aioredis,504,318,4.030116358658453,2021-12-27 20:28:16+00:00,MIT
python-decouple,492,216,2.855578370978782,2023-03-01 19:40:02.580000+00:00,MIT
iso8601,491,254,2.2669404517453797,2023-10-03 00:25:32+00:00,MIT
deprecation,490,280,5.716632443531828,2020-04-20 14:23:36+00:00,Apache-2.0
base58,488,298,4.188911704312115,2021-10-30 22:12:16+00:00,MIT
entrypoints,483,234,3.9288158795345653,2022-02-02 21:30:26+00:00,MIT
pickleshare,482,250,7.211498973305955,2018-10-23 01:04:38.128000+00:00,MIT
semantic-version,480,266,3.619438740588638,2022-05-26 13:35:21+00:00,BSD-3-Clause
