company_name,website,logo_url,description,info_2,info_3,product_categories_
2G Energy AG,http://2-g.com/en,assets/images/exhibitor-directory/1759131741_logo-2g-energy-500x5001759131820_1759131741_logo-2g-energy-500x500.jpg,"2G Energy AG is currently one of the leading international manufacturers of combined heat and power systems for the decentralized production of energy (20 to 4,500 kW).Founded in Heek (North Rhine-Westphalia, Germany) in 1995. As a technological leader with 14 subsidiaries and over 1000 employees worldwide, we provide holistic energy supply solutions suited to almost any field of application imaginable, including the agricultural sector, municipalities, the housing industry, commercial enterprises, medium-scale and major industrial enterprises, the energy sector and many more.",Germany,2-g.com/en,"ENERGY EFFICIENCY > Energy efficient equipments for power generation, transmission and distribution , Cogeneration > Complete plant solution providers , Cogeneration > Project developers , Cogeneration > Equipment suppliers and service providers"
A.EBERLE SYSTEMS PVT LTD,http://www.a-eberle.de/en/,assets/images/exhibitor-directory/dummy.png,"A. Eberle GmbH & Co. KG is German company. Excelling in manufacturing products for Generation, Transmission & Distribution. 
PQSYS / PQM is Power Quality monitoring system which gets integrated with PPC and SCADA system.
Data logger / DR is high resolution Disturbance Recorder primarily used for recording faults on inverter side with larger memory slot. 
REGSYS is advanced Transformer monitoring and Voltage Regulator system.",India,www.a-eberle.de/en/,"Solar Energy > Inverters, charge controllers, batteries and module connectors , Solar Energy > Software solutions and providers of irradiation data , Solar Energy > Electrical test and measuring systems , Wind Energy > Electrical and electronics items manufacturers , ENERGY EFFICIENCY > Energy efficient equipments for power generation, transmission and distribution , Cogeneration > Automation measuring and control systems"
Aatmanirbhar Solar Pvt. Ltd,http://www.aatmanirbharsolar.com/,assets/images/exhibitor-directory/dummy.png,"Aatmanirbhar Solar Pvt. Ltd. is an emerging young solar manufacturing unit at kapadvanj (Gujarat) - India, Manufacturing High efficiency Solar PV Modules with the high-tech fully automated manufacturing plant of 300 MW per annum capacity.

Our products can be used across India as Ground Mounted and Roof Top. is is also serving to the agriculture industries as a Pumping Solution by using ASPL solar panels.

Our aim is to contribute to India's Green Energy as well as Climate Goals which brings affordable & accessible solutions for the nation",India,www.aatmanirbharsolar.com/,"Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments"
AB INDUSTRIES(NEOCAB-PV),http://www.neocabpv.com,assets/images/exhibitor-directory/dummy.png,"Neocab-PV is a leading manufacturer of PV Ribbon Interconnects, Busbar,Wires, Cables, and Aluminium & Copper Conductors, serving the solar and electrical industry with excellence for over two decades. With more than 20 years of proven expertise, we have established ourselves as one of the largest and most trusted manufacturers in the sector. Our state-of-the-art manufacturing facilities, stringent quality control, and continuous innovation enable us to deliver products that meet international standards and support the growing demand for renewable energy solutions. At Neocab-PV, we are committed to powering the future of clean energy by providing high-performance, reliable, and sustainable",India,www.neocabpv.com,"Solar Energy > Solar cells manufacturers , Solar Energy > Suppliers of raw materials , Wind Energy > Electrical and electronics items manufacturers , other, Manufacturer of Solar PV Ribbon Interconnect,Busbar, Wires and Cables"
ABHYUDAY POWER COMPONENETS LLP,http://WWW.APCLINDIA.CO.IN,assets/images/exhibitor-directory/dummy.png,"Abhyuday Power Components (APCL) carries the legacy of the Vardhaman Stampings Pvt Ltd & Group Companies, with half a century of experience & expertise in delivering world class CRGO Transformer Cores for Power & Distribution Transformers, Wound Core for Single & Three Phase Transformers, Toroidal Cores for CT’s & PT’s, Tank Shunt, Yoke Shunt & Radiators for Power & Distribution Transformers to its clients in India and across the world in 45 countries. Backed by this strong market prowess, APCL has poised itself as a premier manufacturer of high-tech & high-quality transformers up to 15 MVA, 66 kV class",India,WWW.APCLINDIA.CO.IN,"Wind Energy > Electrical and electronics items manufacturers , ENERGY EFFICIENCY > Energy efficient equipments for power generation, transmission and distribution"
Acelion Energy Storage Solutions Pvt Ltd,http://www.acelionenergy.com,assets/images/exhibitor-directory/1760618677_acelionlogo1760618790_1760618677_acelionlogo.jpeg,"Acelion — Powering the Future with Intelligent Energy Ecosystems Founded in 1986, Acelion has evolved from an EPC pioneer into a next-generation clean-tech company redefining India’s energy landscape. With 39 years of engineering excellence, we design and manufacture intelligent energy solutions that unite inverters, batteries, BMS, and smart connectivity into one seamless ecosystem. At the heart of Acelion lies innovation — from Silicon Carbide (SiC) technology delivering up to 98% efficiency, to Mesh Topology and Matter-enabled smart integration. Acelion is not just powering systems — we’re empowering people.",India,www.acelionenergy.com,"other, Manufacturing Hybrid Inverter & Batteries"
Adani Solar,http://www.adanisolar.com,assets/images/exhibitor-directory/1758881651_screenshot2025-09-26at3.43.55pm1758881659_1758881651_screenshot2025-09-26at3.43.55pm.png,"Adani Solar is one of India’s leading Tier-1 solar panel manufacturers, known for delivering high-efficiency and reliable solar solutions. We are building the world’s first fully integrated and comprehensive 10 GW solar manufacturing ecosystem, covering the entire value chain from polysilicon to modules, and we stand at the forefront of innovation, quality, and scale in renewable energy space. We have an operational capacity of 4GW for cells and modules and proudly operate India’s only ingot + Wafer facility of 2GW. Our module capacity is expected to scale to 10 GW by next financial year 2026.",India,www.adanisolar.com,"Solar Energy > Manufacturers of cell and module encapsulation, crystal growth equipments, diffusion furnaces, laminators, mounting systems, concentrators, trackers and collectors , Solar Energy > Silicon feedstock, ingot and wafer manufacturing , Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > Solar cells manufacturers"
Adaptive Engineering Pvt. Ltd.,http://www.adaptive-engg.com,assets/images/exhibitor-directory/1758978405_adaptivelogo-new-transparent1758978776_1758978405_adaptivelogo-new-transparent.png,"AEPL is a trusted leader in renewable energy automation, delivering end-to-end solutions from design to commissioning and maintenance. Our expertise spans Plant SCADA, Power Plant Controllers (PPC), Substation Automation (SAS), Central Monitoring Systems, IoT-SCADA, EMS-BESS, and advanced LT/HT/ACDB Panels. With 51 GW+ SCADA and 49 GW+ PPC solutions already delivered, AEPL stands as the most experienced Solar SCADA partner in the industry. Backed by unmatched technical expertise and innovative approaches, we ensure seamless project execution, peak performance, and long-term reliability. At AEPL, we don’t just power projects—we empower industries to achieve sustainable growth with smart energy solutions.",India,www.adaptive-engg.com,"Solar Energy > Software solutions and providers of irradiation data , Solar Energy > Turnkey solution providers , Solar Energy > Annual maintenance contractors , Wind Energy > Wind monitoring and analysis systems suppliers , Wind Energy > Wind-Solar hybrid power system integrators , Cogeneration > Automation measuring and control systems , other, Plant SCADA, Power Plant Controllers (PPC), Substation Automation (SAS), Central Monitoring Systems, IoT-SCADA, EMS-BESS, PMKUSUM-RMS, and advanced LT/HT/ACDB Panels"
ADARSHA SPECIALTY CHEMICALS PVT LTD,http://adarsha.co/,assets/images/exhibitor-directory/dummy.png,"Established in 2010, it’s taken Adarsha Specialty Chemicals just a decade to claim the coveted spot of India’s prime supplier of silicone sealants and adhesives.
Adarsha Specialty Chemicals presents an ever-rapidly-expanding formidable inventory of products, its quality bolstered by its Six-Sigma protocols.
We offer solutions that are reliable, efficient, safe and sustainable.

We are committed to being eco-friendly, working hard to develop greener products and technologies that will help make the world we live in safer everyday.",India,adarsha.co/,Solar Energy > Suppliers of raw materials
Addwatt Power Solutions Limited,http://www.addwatt.com,assets/images/exhibitor-directory/1759923665_logoyoursolarepcpartner1759923734_1759923665_logoyoursolarepcpartner.png,"Addwatt Power Solutions Ltd. is a progressive Solar EPC company delivering end-to-end solutions for the design and construction of solar power plants. With a proven track record of 1.5 GW+ installations across 21+ states in India and an International project in Mauritius, Addwatt ensures seamless execution from concept to commissioning. Our esteemed clientele includes Torrent Power, Adani, Aditya Birla, IOCL, ONGC, BHEL, Indian Railways, and Smart Cities. Backed by advanced technology, modern construction techniques, and a skilled technical team, we provide turnkey solar solutions that maximize efficiency, reliability, and returns on investment",India,www.addwatt.com,"Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > Turnkey solution providers , Solar Energy > Solar farm developers and owners , ENERGY EFFICIENCY > Energy efficient equipments for power generation, transmission and distribution , Cogeneration > Complete plant solution providers , Cogeneration > Utility planners and organizations"
