field,type,is_ascii,sum,min,max,range,sort_order,sortiness,min_length,max_length,sum_length,avg_length,stddev_length,variance_length,cv_length,mean,sem,geometric_mean,harmonic_mean,stddev,variance,cv,nullcount,max_precision,sparsity,mad,lower_outer_fence,lower_inner_fence,q1,q2_median,q3,iqr,upper_inner_fence,upper_outer_fence,skewness,cardinality,uniqueness_ratio,mode,mode_count,mode_occurrences,antimode,antimode_count,antimode_occurrences,percentiles
Record ID,Integer,,2376736138,1,69269,69268,Descending,-1,,,,,,,,34617.0313,76.0566,25529.3027,5909.1665,19928.869,397159820.2223,57.5695,0,,0,17246,-86104,-34366,17372,34610.5,51864,34492,103602,155340,0.0004,68658,1,,0,0,*ALL,0,1,3513|7010|27728|41528|62196|65677
Title,String,false,,#NAME?,ℤ𝑝ℤ𝑝2-linear codes: rank and kernel,,Unsorted,-0.1137,1,424,7077259,103.0799,35.8996,1288.7785,0.3483,,,,,,,,0,,0,,,,,,,,,,,66158,0.9636,Inhalt,1,9,*PREVIEW: #NAME?|'Acquiescence' Response Set in Personality Inventory Items|'Allahu akbar' was never...,63805,1,
Subject,String,true,,(B/T) Business - Accounting;,(SOC) Sports and Recreation;,,Unsorted,0.095,13,263,4384238,63.8562,30.4644,928.0817,0.4771,,,,,,,,0,,0,,,,,,,,,,,16930,0.2466,(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;,1,1495,*PREVIEW: (B/T) Business - Accounting;(B/T) Business - Economics;(B/T) Business - General;(B/T) Busi...,11237,1,
Institution,String,false,,"'Carol Davila' Central Military Hospital, Bucharest;SPO R&D Medical;'Octavian Fodor' Emergency Hospital, Cluj-Napoca;'M. Nasta' National Institute of Pneumology, Bucharest;",”Prof. dr. Dimitrie Gerota” Emergency Hospital Bucuresti;,,Unsorted,0.033,3,4019,15393200,224.2011,212.0538,44966.8058,0.9458,,,,,,,,0,,0,,,,,,,,,,,60727,0.8845,Unknown,1,385,"*PREVIEW: 'Carol Davila' Central Military Hospital, Bucharest;SPO R&D Medical;'Octavian Fodor' Emerg...",56353,1,
Journal,String,false,,'Herbst des Mittelalters' Fragen zur Bewertung des 14th und 15th Jahrhunderts,НАУЧНОЕ СООБЩЕСТВО СТУДЕНТОВ. МЕЖДИСЦИПЛИНАРНЫЕ ИССЛЕДОВАНИЯ,,Unsorted,0.4573,3,626,2973877,43.3144,31.7152,1005.8518,0.7322,,,,,,,,0,,0,,,,,,,,,,,8561,0.1247,Journal of Intelligent & Fuzzy Systems,1,1565,*PREVIEW: 'Herbst des Mittelalters' Fragen zur Bewertung des 14th und 15th Jahrhunderts|10th IEEE In...,4494,1,
Publisher,String,false,,7847050 CANADA Inc,Общество с ограниченной ответственностью,,Unsorted,0.6367,3,715,1882421,27.4174,36.6572,1343.7511,1.337,,,,,,,,0,,0,,,,,,,,,,,1702,0.0248,Hindawi,1,11524,*PREVIEW: 7847050 CANADA Inc|A M Publishers|ABRASCO: Associacao Brasileira de Saude Coletiva|ACS Pub...,856,1,
Country,String,false,,Afghanistan;Bangladesh;Iran;Iraq;Malta;Pakistan;Poland;Qatar;Romania;Sint Maarten;United States,Yemen,,Unsorted,0.4905,1,250,597067,8.6962,7.7727,60.4153,0.8938,,,,,,,,0,,0,,,,,,,,,,,3297,0.048,China,1,32976,*PREVIEW: Afghanistan;Bangladesh;Iran;Iraq;Malta;Pakistan;Poland;Qatar;Romania;Sint Maarten;United S...,2165,1,
Author,String,false,,A A (A A) Amangaliev (Амангалиев),Şerif Özlü;Ashraf Al-Quran;Muhammad Riaz,,Unsorted,0.0274,5,1509,4128576,60.1325,56.0009,3136.0982,0.9313,,,,,,,,0,,0,,,,,,,,,,,62101,0.9045,Unknown,1,114,*PREVIEW: A A (A A) Avdulov (Авдулов)|A A (A A) Balakina (Балакина);K I (К И) Chern...,57994,1,
URLS,String,true,,http://i0.wp.com/retractionwatch.com/wp-content/uploads/2021/03/Screen-Shot-2021-03-04-at-7.54.17-AM.png?ssl=1,https://www.buzzfile.com/business/King-Dollar-281-564-8700,,Unsorted,0.7444,0,545,6765715,98.5423,113.5955,12903.9395,1.1528,,,,,,,,29611,,0.4313,,,,,,,,,,,4305,0.0627,,1,29611,*PREVIEW: http://i0.wp.com/retractionwatch.com/wp-content/uploads/2021/03/Screen-Shot-2021-03-04-at-...,2862,1,
ArticleType,String,true,,Article in Press;,Trade Magazines;,,Unsorted,0.7888,6,56,1306028,19.0222,4.5604,20.7972,0.2397,,,,,,,,0,,0,,,,,,,,,,,102,0.0015,Research Article;,1,45411,*PREVIEW: Article in Press;Case Report;Guideline;|Article in Press;Case Report;Letter;|Article in Pr...,26,1,
